perturbation,EN_learned,argmin_depth,effect_size
AAAS,3.0,6.0,1.1673
AAMP,3.0,2.0,3.073
AARS,3.0,4.0,6.8721
AARS2,3.0,1.0,1.4158
AASDHPPT,3.0,7.167,2.5523
AATF,3.0,6.333,3.8304
ABCB7,3.0,5.667,1.8602
ABCE1,3.0,4.0,5.0325
ABHD11,3.0,8.0,2.4426
ABHD17A,3.0,6.333,2.1946
ABT1,3.0,4.667,2.9134
ACD,3.0,4.167,1.8643
ACTR1B,3.0,6.0,1.1727
ACTR2,3.0,6.0,1.2162
ACTR6,3.0,8.0,2.3794
ACTR8,3.0,5.167,2.2724
ADAT2,3.0,7.0,1.8404
ADSL,3.0,8.0,1.9623
AHCY,3.0,8.0,1.9766
AKIRIN2,3.0,7.0,2.0085
ALDOA,3.0,1.0,4.0771
ALG1,3.0,6.833,1.9411
ALG13,3.0,6.667,1.6735
ALG14,3.0,6.0,1.3477
ALG2,3.0,5.0,1.7167
ANAPC11,3.0,4.0,2.1559
ANAPC13,3.0,8.0,1.6984
ANAPC5,3.0,8.0,2.9748
ANKLE2,3.0,7.833,1.7167
ANKRD11,3.0,8.0,2.3391
ANKRD49,3.0,7.0,1.4748
ANKS6,3.0,5.0,1.7796
ANLN,3.0,8.0,1.6659
AP2S1,3.0,5.0,2.9044
ARGLU1,3.0,6.0,1.8982
ARL4D,3.0,8.0,1.6065
ARMC6,3.0,6.0,1.9642
ASF1B,3.0,8.0,1.0385
ATF5,3.0,6.0,5.6483
ATL2,3.0,8.0,1.7753
ATP1A1,3.0,7.0,4.3479
ATP6AP1,3.0,6.0,2.565
ATP6AP2,3.0,6.0,1.7235
ATP6V0B,3.0,6.0,2.4961
ATP6V0C,3.0,6.0,3.7268
ATP6V0D1,3.0,6.0,1.8516
ATP6V1C1,3.0,5.833,2.3274
ATP6V1D,3.0,5.0,1.6811
ATP6V1H,3.0,6.0,2.4798
ATR,3.0,1.0,2.3329
ATRIP,3.0,6.0,1.8936
AURKA,3.0,7.0,3.0897
BARD1,3.0,3.833,1.4334
BCLAF1,3.0,7.0,2.6265
BCS1L,3.0,7.0,2.0275
BDP1,3.0,1.333,3.0718
BET1,3.0,4.0,1.8635
BNIP1,3.0,6.333,2.8506
BRF1,3.0,2.0,1.6403
BRIP1,3.0,5.167,1.6056
BRIX1,3.0,1.0,3.7282
BRK1,3.0,8.0,1.256
BTF3,3.0,1.0,3.1987
BTF3L4,3.0,1.0,1.4389
BUB1,3.0,6.0,0.9852
BUB1B,3.0,5.167,1.6682
BYSL,3.0,7.333,3.7532
C17orf58,3.0,8.0,2.3431
C19orf25,3.0,1.833,1.3909
C1D,3.0,8.0,1.6213
C9orf16,3.0,2.333,1.3568
C9orf78,3.0,7.0,1.1797
