perturbation,depth_mean,effect_size,n_de,n_cells
AAAS,7.0,1.1673,0,202
AAMP,2.0,3.073,209,76
AARS,4.0,6.8721,650,38
AARS2,1.5,1.4158,21,179
AASDHPPT,6.625,2.5523,159,39
AATF,7.0,3.8304,267,254
ABCB7,4.625,1.8602,59,192
ABCE1,3.0,5.0325,476,207
ABHD11,8.0,2.4426,132,49
ABHD17A,5.0,2.1946,99,63
ABT1,4.5,2.9134,172,92
ACD,4.25,1.8643,54,74
ACTR1B,6.0,1.1727,3,200
ACTR2,6.25,1.2162,5,221
ACTR6,8.0,2.3794,123,104
ACTR8,4.125,2.2724,117,242
ADAT2,7.0,1.8404,45,84
ADSL,8.0,1.9623,64,100
AHCY,8.0,1.9766,73,142
AKIRIN2,7.0,2.0085,86,144
ALDOA,1.0,4.0771,354,77
ALG1,8.0,1.9411,64,67
ALG13,5.75,1.6735,45,167
ALG14,6.0,1.3477,15,177
ALG2,5.0,1.7167,29,228
ANAPC11,3.875,2.1559,96,66
ANAPC13,8.0,1.6984,35,104
ANAPC5,8.0,2.9748,250,35
ANKLE2,7.625,1.7167,29,111
ANKRD11,8.0,2.3391,93,184
ANKRD49,7.0,1.4748,15,139
ANKS6,5.0,1.7796,47,89
ANLN,8.0,1.6659,27,93
AP2S1,5.0,2.9044,174,98
ARGLU1,6.0,1.8982,47,442
ARL4D,8.0,1.6065,22,118
ARMC6,6.0,1.9642,63,76
ASF1B,8.0,1.0385,2,271
ATF5,6.0,5.6483,495,133
ATL2,8.0,1.7753,41,109
ATP1A1,7.0,4.3479,381,71
ATP6AP1,6.0,2.565,152,114
ATP6AP2,6.0,1.7235,45,164
ATP6V0B,6.0,2.4961,86,136
ATP6V0C,6.0,3.7268,338,47
ATP6V0D1,6.0,1.8516,46,88
ATP6V1C1,5.625,2.3274,116,55
ATP6V1D,5.0,1.6811,30,125
ATP6V1H,6.0,2.4798,144,77
ATR,1.75,2.3329,132,133
ATRIP,6.0,1.8936,63,183
AURKA,7.0,3.0897,213,49
BARD1,4.0,1.4334,13,135
BCLAF1,7.0,2.6265,185,46
BCS1L,7.0,2.0275,68,68
BDP1,1.625,3.0718,206,277
BET1,6.25,1.8635,67,125
BNIP1,6.25,2.8506,194,107
BRF1,1.875,1.6403,39,163
BRIP1,4.75,1.6056,25,131
BRIX1,1.0,3.7282,321,109
BRK1,8.0,1.256,3,169
BTF3,1.0,3.1987,259,65
BTF3L4,2.5,1.4389,14,121
BUB1,5.375,0.9852,4,570
BUB1B,5.25,1.6682,33,135
BYSL,7.5,3.7532,289,87
C17orf58,7.625,2.3431,123,52
C19orf25,1.625,1.3909,10,158
C1D,8.0,1.6213,26,146
C9orf16,2.0,1.3568,13,202
C9orf78,7.0,1.1797,0,181
CAPZB,1.5,3.5927,192,64
CCAR1,8.0,2.8142,208,43
CCDC84,7.0,3.2278,263,77
CCDC86,2.0,3.4208,236,235
CCNB1,1.0,1.7522,29,150
CCNH,3.75,3.4892,264,75
CCP110,4.5,2.262,111,47
CCT2,1.0,4.1629,331,177
CCT3,1.0,3.6535,280,217
CCT5,1.0,3.8994,330,63
CCT7,1.0,4.2768,341,141
CCT8,1.0,3.4169,268,95
CD2BP2,7.0,1.6815,31,119
CD3EAP,2.0,3.1783,245,85
CDC123,6.0,2.1148,82,110
CDC16,7.0,2.1685,94,142
CDC42,7.125,2.3335,98,62
CDC7,6.0,2.096,90,92
CDIPT,1.75,1.185,3,242
CDK2,7.0,1.7758,42,103
CDK9,2.75,2.2379,101,134
CENPC,1.0,2.7354,175,116
CENPE,2.5,2.2217,97,171
CENPH,8.0,2.2507,115,58
CENPK,7.0,3.4284,305,93
CENPN,1.75,1.593,18,124
CENPT,1.0,2.3591,117,60
CEP152,1.0,1.6254,39,149
CEP68,8.0,2.0411,73,65
CEP85,1.0,1.7536,31,124
CHAF1B,5.5,4.5188,382,82
CHCHD2,5.5,1.931,62,81
CHCHD4,1.875,2.5612,132,132
CHD4,6.0,3.6819,348,35
CHMP3,4.5,8.4409,732,119
CHMP4B,1.25,2.1469,82,68
CHMP5,8.0,1.8376,36,90
CHMP6,6.125,3.2235,203,620
CHMP7,7.25,1.0897,2,226
CHORDC1,7.0,1.27,4,237
CHTOP,8.0,1.6191,24,121
CIAO1,7.5,1.4952,26,216
CIAPIN1,5.0,2.894,151,139
CLASRP,7.0,1.812,52,114
CLCC1,3.875,2.4479,140,46
CLK2,7.0,1.8502,55,84
CLNS1A,1.625,3.6136,324,49
CLTC,6.0,2.4335,138,129
CMPK1,2.0,1.3794,5,148
CNIH4,7.0,3.0101,230,65
CNN2,7.125,1.2434,3,185
CNOT1,5.0,7.2417,845,202
CNOT3,5.125,4.5492,408,303
COA5,5.0,1.3735,8,162
COASY,7.0,1.1697,7,241
COG4,7.0,1.5235,19,124
COPE,4.25,1.6826,49,133
COPS2,3.5,3.5618,339,44
COPS3,6.375,3.2697,270,59
COPS4,4.75,2.5857,155,253
COPS5,7.5,2.8186,196,72
COPS6,6.0,2.5207,148,222
COPS8,1.0,1.8345,53,198
COQ2,6.25,2.057,71,67
COQ4,7.875,1.428,11,142
COX10,1.0,2.2529,101,91
COX11,7.0,2.1259,94,103
COX15,5.875,2.7437,172,103
COX17,5.625,1.8901,59,129
COX5A,1.75,2.3631,122,80
COX5B,7.75,1.9473,63,109
