candidate,n_lines,lines,mean_score_pct,best_rank,mean_response_cosine,anchor_class_mode,anchor_class_consistency,anchors,mean_delta_E_N,any_tox_essential,all_tox_essential,recurrence_note
LSG1,4,"hepg2,jurkat,k562,rpe1",0.9899537707792074,1,0.8592333333333334,Other cytosolic protein,1.0,RPL26;RPL24;RPL8,-0.0424999999999999,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
RFC4,4,"hepg2,jurkat,k562,rpe1",0.9750860715651976,1,0.6759666666666666,Enzyme,0.25,CHEK1;POLD3;POLD1;PRIM1,0.7304999999999999,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
DDX52,4,"hepg2,jurkat,k562,rpe1",0.9607786177237024,7,0.8311999999999999,Other cytosolic protein,1.0,RPS7;RPS14;RPS12;RPS6,-0.1345,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
TEX10,4,"hepg2,jurkat,k562,rpe1",0.936200631039938,31,0.8906000000000001,Other cytosolic protein,1.0,RPL26;RPL24,-0.0555,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
DIMT1,4,"hepg2,jurkat,k562,rpe1",0.930797182341418,14,0.8695,Other cytosolic protein,1.0,RPS7;RPS13;RPS12,-0.1585,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
RCL1,4,"hepg2,jurkat,k562,rpe1",0.928966448418208,4,0.8952333333333332,Other cytosolic protein,1.0,RPS7;RPS13;RPS12;RPS19,-0.01,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
NOM1,4,"hepg2,jurkat,k562,rpe1",0.9263529926911764,40,0.7480333333333333,Other cytosolic protein,0.75,RPS6;RPS27;RPLP0,-0.313,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
NOC3L,4,"hepg2,jurkat,k562,rpe1",0.9143180394761,9,0.8724,Other cytosolic protein,1.0,RPL26;RPL23A,-0.0535,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
COX5A,4,"hepg2,jurkat,k562,rpe1",0.9110851045021722,3,0.4853333333333333,Enzyme; Oxidoreductase,1.0,NDUFAB1;NDUFB8,-0.55,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
MIOS,4,"hepg2,jurkat,k562,rpe1",0.897987781309599,16,0.4785333333333333,Enzyme; Kinase; Protein Kinase; Atypical protein kinase group; Atypical protein kinase PIKK family; Atypical protein kinase FRAP subfamily,0.75,MTOR,-0.5325,False,False,non_essential(safety-pass)
EIF2B1,4,"hepg2,jurkat,k562,rpe1",0.8817025808555257,52,0.6878000000000001,Enzyme; Kinase; Protein Kinase; Atypical protein kinase group; Atypical protein kinase PIKK family; Atypical protein kinase FRAP subfamily,0.3333333333333333,NDUFA3;MTOR;NDUFA6;RPS6,-0.2625,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
GINS4,4,"hepg2,jurkat,k562,rpe1",0.8798207649477721,3,0.6661999999999999,Enzyme; Transferase,0.6666666666666666,POLA1;RBX1;POLE,-0.4545,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
NLE1,4,"hepg2,jurkat,k562,rpe1",0.8702629131016625,20,0.8426666666666667,Other cytosolic protein,1.0,RPL23A;RPL5;RPL24,-0.041,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
MCM6,4,"hepg2,jurkat,k562,rpe1",0.8006691947165171,10,0.7322666666666667,Enzyme; Transferase,0.5,POLA1;RBX1;POLD1;PRIM1,0.55,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
MARS,4,"hepg2,jurkat,k562,rpe1",0.7894762474752852,47,0.6695333333333333,Enzyme; Kinase; Protein Kinase; Atypical protein kinase group; Atypical protein kinase PIKK family; Atypical protein kinase FRAP subfamily,0.5,PSMC5;MTOR,0.0725,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
IARS,4,"hepg2,jurkat,k562,rpe1",0.775750811805375,58,0.6341666666666667,Enzyme; Kinase; Protein Kinase; Atypical protein kinase group; Atypical protein kinase PIKK family; Atypical protein kinase FRAP subfamily,0.5,PSMB5;MTOR,0.6605,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
BTF3,4,"hepg2,jurkat,k562,rpe1",0.7524091066611471,117,0.6091333333333333,Other cytosolic protein,1.0,RPL26;RPS12;RPL27A,-0.834,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
TTI1,4,"hepg2,jurkat,k562,rpe1",0.7430867582089499,2,0.5483666666666667,Enzyme; Kinase; Protein Kinase; Atypical protein kinase group; Atypical protein kinase PIKK family; Atypical protein kinase FRAP subfamily,0.75,MTOR,0.0385,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
COQ4,4,"hepg2,jurkat,k562,rpe1",0.7426743554977475,117,0.5416333333333333,Enzyme; Kinase,0.25,NDUFA6;MTOR;RPS13,-0.8949999999999999,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
SMC6,4,"hepg2,jurkat,k562,rpe1",0.7383564118490845,38,0.4958,Enzyme; Isomerase,0.3333333333333333,ATR;HDAC7;POLE;TOP1,-0.003,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
MMS19,4,"hepg2,jurkat,k562,rpe1",0.7353560207699176,32,0.4512,Enzyme; Transferase,0.5,POLD1;MTOR;POLD2,0.028,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
