rank,candidate,nearest_anchor,anchor_status,anchor_target_class,anchor_moa,anchor_drugs,response_cosine,string_adjacent,string_score_to_anchor,shared_cluster,cluster,n_anchors_string_adjacent,n_anchors_shared_cluster,fused_proximity,cand_EN,anchor_EN,delta_EN,abs_delta_EN,cand_halt_conf,cand_effect_size,cand_n_de,cand_argmin_depth,cand_oracle_rstar,min_geneEffect,depmap_geneEffect_k562,depmap_essential_k562,depmap_geneEffect_rpe1,depmap_essential_rpe1,user_depmap_essentiality,likely_toxic_to_inhibit,gnomad_pli,gnomad_loeuf,lof_constraint_flag,ot_safety_liabilities,n_safety_events,fda_boxed_warning_flag,safety_flag_v2,passes_safety_filter,user_immune_disease_assoc,user_pharos_tdl,user_tractability_modality,user_annotation_present,user_function,target_class,user_protein_class_family,user_pathway_family,proximity_component,safety_penalty,act_consistency_bonus,composite_score,rationale,act_note
1,DNTTIP2,RPS7,approved_target,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,NOT_FETCHED,0.9368,True,0.976,True,9,11,9,1.5248,7.761,7.983,-0.222,0.222,0.7968,8.7891,828,8.0,8.0,-0.979,-0.536,False,-0.9787,False,see per-line columns,False,0.0,0.976,tolerant,NOT_FOUND,0,False,no strong safety flag,True,neurodegenerative disease(0.164); Tinnitus(0.111); alcohol drinking(0.099); Aphasia(0.089); narcolepsy(0.089),Tdark,PROTAC_degrader; small_molecule,True,"This gene is thought to be involved in chromatin remodeling and gene transcription. The encoded nuclear protein binds to and enhances the transcriptional activity of the estrogen receptor alpha, and also interacts with terminal deoxynucleotidyltransferase. The expression profile of this gene is a potential biomarker for chronic obstructive pulmonary disease. [provided by RefSeq, Dec 2010].",NOT_FOUND,Fcf2/DNTTIP2,NOT_FOUND,1.4296,0.0,0.0475,1.4771,Undrugged; transcriptionally similar (cos=0.94); STRING-adjacent (score=0.98); same cluster 9 to approved/clinical target RPS7 [Other cytosolic protein] → hypothesis: same target class as RPS7. Not strongly essential in-line (min geneEffect=-0.98).,E[N]=7.76 vs anchor 7.98 (|Δ|=0.22); halt_conf=0.80. ACT axis redundant for target-class call in this line.
2,LSG1,RPL26,approved_target,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,NOT_FETCHED,0.8664,True,0.896,True,3,24,8,1.4144,7.905,7.991,-0.086,0.086,0.9271,7.4081,642,8.0,8.0,-1.0,-0.76,False,-0.9999,False,see per-line columns,False,0.0,0.843,tolerant,NOT_FOUND,0,False,no strong safety flag,True,neurodegenerative disease(0.503); arthropathy(0.195); placenta praevia(0.058); urethral syndrome(0.058); nonpapillary renal cell carcinoma(0.053),Tbio,PROTAC_degrader,True,"This gene encodes a protein related to the yeast large subunit GTPase 1. The encoded protein is necessary for cell viability and may localize in the endoplasmic reticulum, nucleus and cytoplasm.[provided by RefSeq, Feb 2009].",Enzyme; Hydrolase,Ras GTPase GNL1-like,NOT_FOUND,1.3352,0.0,0.049,1.3842,Undrugged; transcriptionally similar (cos=0.87); STRING-adjacent (score=0.90); same cluster 3 to approved/clinical target RPL26 [Other cytosolic protein] → hypothesis: same target class as RPL26. Not strongly essential in-line (min geneEffect=-1.00).,E[N]=7.91 vs anchor 7.99 (|Δ|=0.09); halt_conf=0.93. ACT axis redundant for target-class call in this line.
3,COX5A,NDUFAB1,approved_target,Enzyme; Oxidoreductase,Mitochondrial complex I (NADH dehydrogenase) inhibitor; Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor,NOT_FETCHED,0.8398,True,0.986,True,5,8,8,1.4328,6.23,6.689,-0.459,0.459,0.2932,6.7005,602,5.75,5.75,-0.821,-0.8212,False,-0.3537,False,common_essential; mean_geneEffect=-0.579,False,0.653,0.82,tolerant,NOT_FOUND,0,False,no strong safety flag,True,autoimmune disorder of central nervous system(0.446),Tbio,PROTAC_degrader; antibody; small_molecule,True,"Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation.",Unclassified protein,"Cytochrome c oxidase, subunit Va/VI",Cellular responses to stimuli; Gene expression (Transcription); Metabolism; Metabolism of proteins,1.3356,0.0,0.0448,1.3804,Undrugged; transcriptionally similar (cos=0.84); STRING-adjacent (score=0.99); same cluster 5 to approved/clinical target NDUFAB1 [Enzyme; Oxidoreductase] → hypothesis: same target class as NDUFAB1. Not strongly essential in-line (min geneEffect=-0.82).,E[N]=6.23 vs anchor 6.69 (|Δ|=0.46); halt_conf=0.29. ACT axis redundant for target-class call in this line.
4,RRP7A,RPS4X,approved_target,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,NOT_FETCHED,0.8364,True,0.923,True,4,12,7,1.3979,7.841,7.981,-0.14,0.14,0.835,6.4164,542,8.0,8.0,-0.966,-0.6676,False,-0.9663,False,see per-line columns,False,0.0,1.305,tolerant,NOT_FOUND,0,False,no strong safety flag,True,"neurodegenerative disease(0.417); microcephaly 28, primary, autosomal recessive(0.333); microcephaly(0.193); cardiac arrest(0.04); hepatocellular carcinoma(0.011)",Tbio,PROTAC_degrader; small_molecule,True,"Enables RNA binding activity. Predicted to be involved in rRNA processing and ribosomal small subunit assembly. Predicted to act upstream of or within blastocyst formation. Predicted to be located in nucleoplasm. Predicted to be part of CURI complex and UTP-C complex. Implicated in primary autosomal recessive microcephaly. [provided by Alliance of Genome Resources, Apr 2022]",NOT_FOUND,Ribosomal RNA-processing protein 7,Metabolism of RNA,1.3133,0.0,0.0484,1.3617,Undrugged; transcriptionally similar (cos=0.84); STRING-adjacent (score=0.92); same cluster 4 to approved/clinical target RPS4X [Other cytosolic protein] → hypothesis: same target class as RPS4X. Not strongly essential in-line (min geneEffect=-0.97).,E[N]=7.84 vs anchor 7.98 (|Δ|=0.14); halt_conf=0.83. ACT axis redundant for target-class call in this line.
5,NOL11,RPS4X,approved_target,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,NOT_FETCHED,0.8415,True,0.807,True,4,9,7,1.345,7.947,7.981,-0.034,0.034,0.921,8.7239,717,8.0,8.0,-0.825,-0.8246,False,-0.5547,False,see per-line columns,False,0.002,0.803,tolerant,NOT_FOUND,0,False,no strong safety flag,True,atrial fibrillation(0.066); diabetes mellitus(0.066); type 2 diabetes mellitus(0.063); cancer(0.011); hereditary North American Indian childhood cirrhosis(0.009),Tbio,PROTAC_degrader,True,"Enables RNA binding activity. Involved in maturation of SSU-rRNA and positive regulation of transcription of nucleolar large rRNA by RNA polymerase I. Located in nucleolus. Part of t-UTP complex. [provided by Alliance of Genome Resources, Apr 2022]",NOT_FOUND,Nucleolar protein 11,Metabolism of RNA,1.2836,0.0,0.0496,1.3332,Undrugged; transcriptionally similar (cos=0.84); STRING-adjacent (score=0.81); same cluster 4 to approved/clinical target RPS4X [Other cytosolic protein] → hypothesis: same target class as RPS4X. Not strongly essential in-line (min geneEffect=-0.82).,E[N]=7.95 vs anchor 7.98 (|Δ|=0.03); halt_conf=0.92. ACT axis redundant for target-class call in this line.
6,MRPL36,NDUFAB1,approved_target,Enzyme; Oxidoreductase,Mitochondrial complex I (NADH dehydrogenase) inhibitor; Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor,NOT_FETCHED,0.792,True,0.97,True,5,16,8,1.377,6.222,6.689,-0.467,0.467,0.3732,3.2954,252,6.5,6.5,-0.815,-0.8146,False,-0.3874,False,common_essential; mean_geneEffect=-0.575,False,0.1915,1.561,tolerant,NOT_FOUND,0,False,no strong safety flag,True,multiple sclerosis(0.308),Tbio,small_molecule,True,Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryot,NOT_FOUND,Mitochondrial Large Ribosomal Subunit bL36m; Large ribosomal subunit protein bL36,Metabolism of proteins,1.283,0.0,0.0447,1.3277,Undrugged; transcriptionally similar (cos=0.79); STRING-adjacent (score=0.97); same cluster 5 to approved/clinical target NDUFAB1 [Enzyme; Oxidoreductase] → hypothesis: same target class as NDUFAB1. Not strongly essential in-line (min geneEffect=-0.81).,E[N]=6.22 vs anchor 6.69 (|Δ|=0.47); halt_conf=0.37. ACT axis redundant for target-class call in this line.
7,C1orf131,RPS4X,approved_target,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,NOT_FETCHED,0.8363,True,0.8,True,4,9,7,1.3363,7.948,7.981,-0.033,0.033,0.9213,7.528,664,8.0,8.0,,,False,,False,,False,0.0,1.099,tolerant,NOT_FOUND,0,False,no strong safety flag,True,,,,False,,NOT_FOUND,,,1.2763,0.0,0.0496,1.3259,Undrugged; transcriptionally similar (cos=0.84); STRING-adjacent (score=0.80); same cluster 4 to approved/clinical target RPS4X [Other cytosolic protein] → hypothesis: same target class as RPS4X. Per-line essentiality unknown.,E[N]=7.95 vs anchor 7.98 (|Δ|=0.03); halt_conf=0.92. ACT axis redundant for target-class call in this line.
8,UTP11,RPS7,approved_target,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,NOT_FETCHED,0.879,True,0.993,False,4,13,7,1.3755,7.803,7.983,-0.18,0.18,0.8026,8.0753,717,8.0,8.0,-0.872,-0.7163,False,-0.8718,False,see per-line columns,False,0.0,1.071,tolerant,NOT_FOUND,0,False,no strong safety flag,True,coronary artery disorder(0.083); cancer(0.076); hepatocellular carcinoma(0.075); androgenetic alopecia(0.063); neoplasm(0.061),Tbio,PROTAC_degrader; small_molecule,True,"Enables RNA binding activity. Involved in nervous system development and positive regulation of apoptotic process. Located in cytoplasm; extracellular space; and nucleolus. [provided by Alliance of Genome Resources, Apr 2022]",Unclassified protein,"Small-subunit processome, Utp11",Metabolism of RNA,1.2769,0.0,0.048,1.3249,Undrugged; transcriptionally similar (cos=0.88); STRING-adjacent (score=0.99) to approved/clinical target RPS7 [Other cytosolic protein] → hypothesis: same target class as RPS7. Not strongly essential in-line (min geneEffect=-0.87).,E[N]=7.80 vs anchor 7.98 (|Δ|=0.18); halt_conf=0.80. ACT axis redundant for target-class call in this line.
9,COX7C,NDUFAB1,approved_target,Enzyme; Oxidoreductase,Mitochondrial complex I (NADH dehydrogenase) inhibitor; Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor,NOT_FETCHED,0.799,True,0.928,True,5,28,8,1.363,6.405,6.689,-0.284,0.284,0.2238,5.2747,486,5.25,5.25,-0.918,-0.9181,False,-0.2897,False,common_essential; mean_geneEffect=-0.818,False,0.6561,1.016,tolerant,NOT_FOUND,0,False,no strong safety flag,True,autoimmune disorder of central nervous system(0.37); multiple sclerosis(0.37),Tbio,PROTAC_degrader; antibody; small_molecule,True,"Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation.",NOT_FOUND,Cytochrome c oxidase subunit VIIc,Cellular responses to stimuli; Gene expression (Transcription); Metabolism,1.2774,0.0,0.0468,1.3242,Undrugged; transcriptionally similar (cos=0.80); STRING-adjacent (score=0.93); same cluster 5 to approved/clinical target NDUFAB1 [Enzyme; Oxidoreductase] → hypothesis: same target class as NDUFAB1. Not strongly essential in-line (min geneEffect=-0.92).,E[N]=6.41 vs anchor 6.69 (|Δ|=0.28); halt_conf=0.22. ACT axis redundant for target-class call in this line.
10,RPS19BP1,RPS4X,approved_target,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,NOT_FETCHED,0.8339,True,0.813,True,4,9,7,1.3404,7.293,7.981,-0.688,0.688,0.5663,5.8142,500,8.0,8.0,-0.846,-0.586,False,-0.8457,False,see per-line columns,False,0.0001,1.266,tolerant,NOT_FOUND,0,False,no strong safety flag,True,neurodegenerative disease(0.407); neoplasm(0.075); hepatocellular carcinoma(0.074); neurotic disorder(0.059); Epidermolysis bullosa simplex with circinate migratory erythema(0.058),Tbio,PROTAC_degrader; small_molecule,True,"Enables enzyme binding activity. Located in cytosol; nucleolus; and nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]",NOT_FOUND,Active regulator of SIRT1,Cellular responses to stimuli,1.2778,0.0,0.0422,1.32,Undrugged; transcriptionally similar (cos=0.83); STRING-adjacent (score=0.81); same cluster 4 to approved/clinical target RPS4X [Other cytosolic protein] → hypothesis: same target class as RPS4X. Not strongly essential in-line (min geneEffect=-0.85).,E[N]=7.29 vs anchor 7.98 (|Δ|=0.69); halt_conf=0.57. ACT axis redundant for target-class call in this line.
