rank,candidate,composite_score,nearest_approved_anchor,anchor_specificity,anchor_target_class,anchor_moa,anchor_pathway,anchor_EN,response_cosine,string_weight,string_adjacent,shared_cluster,proximity_score,nearest_anchor_inclClinical,nearest_anchor_inclClinical_cos,cand_EN,cand_halt_confidence,cand_effect_size,cand_n_de,cand_argmin_depth,cand_is_val,delta_EN_to_anchor,act_consistent_with_anchor,cand_pharos_tdl,cand_target_class,cand_protein_family,cand_pathway_family,cand_function,cand_tractability_modality,cand_ot_tractability_sm,cand_immune_disease_assoc,depmap_geneEffect_k562,depmap_geneEffect_rpe1,depmap_geneEffect_THP1,depmap_essential_k562,depmap_essential_rpe1,lof_constraint_flag,gnomad_pli,gnomad_loeuf,n_safety_events,fda_boxed_warning,ot_safety_liabilities,safety_flag_v2,user_annotation_present,strongly_essential_thisline,lof_tolerant,low_liability,safety_pass,rationale,cluster
1,SEH1L,1.1756,MTOR,specific,Enzyme; Kinase; Protein Kinase; Atypical protein kinase group; Atypical protein kinase PIKK family; Atypical protein kinase FRAP subfamily,Serine/threonine-protein kinase mTOR inhibitor,Autophagy,6.366,0.8256,0.503,True,True,1.2271,MTOR,0.8256,6.893,0.8722,6.2768,646,7.0,0,0.527,False,Tbio,,Sec13/Seh1 family,Cell Cycle,Component of the Nup107-160 subcomplex of the nuclear pore complex (NPC).,PROTAC_degrader,,multiple sclerosis(0.29); Graves disease(0.27),-0.2628,-1.0655,-1.1698,False,True,tolerant,0.2592,0.629,0,False,,rpe1-essential(DepMap -1.1),True,False,True,True,True,"Undrugged (TDL=Tbio). Response-cosine 0.83 to nearest approved anchor MTOR [specific drug target], class Enzyme; Kinase; Protein Kinase; Atypical protein kinase group; Atypical protein kinase PIKK family; Atypical protein kinase FRAP subfamily. STRING-adjacent+same cluster #0. HYPOTHESIS: same class as MTOR (Serine/threonine-protein kinase mTOR inhibitor) — candidate target, unverified. Safety OK: K562 geneEffect -0.2628, LoF-tolerant, no OT liability/boxed warning. Immune/disease assoc: multiple sclerosis(0.29); Graves disease(0.27). E[N]=6.893 (|Δ|anchor 0.527; E[N] non-discriminative for class — see stats).",0
2,TTI1,1.0621,MTOR,specific,Enzyme; Kinase; Protein Kinase; Atypical protein kinase group; Atypical protein kinase PIKK family; Atypical protein kinase FRAP subfamily,Serine/threonine-protein kinase mTOR inhibitor,Autophagy,6.366,0.6421,0.999,True,True,1.2916,MTOR,0.6421,5.876,0.3952,4.6284,403,7.0,0,0.49,True,Tbio,Unclassified protein,TEL2-interacting protein 1; TELO2-interacting protein 1 homolog,,"Involved in regulation of TOR signaling. Located in cytoplasm. Part of TORC1 complex and TORC2 complex. [provided by Alliance of Genome Resources, Apr 2022]",PROTAC_degrader; small_molecule,Structure with Ligand,neurodevelopmental disorder with microcephaly and movement abnormalities(0.617); Severe intellectual disability(0.407); Abnormal brain morphology(0.266); neurodegenerative disease(0.248); hereditary disease(0.194),-0.332,-1.0897,-0.6859,False,True,tolerant,0.0,0.78,0,False,,rpe1-essential(DepMap -1.1),True,False,True,True,True,"Undrugged (TDL=Tbio). Response-cosine 0.64 to nearest approved anchor MTOR [specific drug target], class Enzyme; Kinase; Protein Kinase; Atypical protein kinase group; Atypical protein kinase PIKK family; Atypical protein kinase FRAP subfamily. STRING-adjacent+same cluster #0. HYPOTHESIS: same class as MTOR (Serine/threonine-protein kinase mTOR inhibitor) — candidate target, unverified. Safety OK: K562 geneEffect -0.332, LoF-tolerant, no OT liability/boxed warning. Immune/disease assoc: neurodevelopmental disorder with microcephaly and movement abnormaliti. E[N]=5.876 (|Δ|anchor 0.49; E[N] non-discriminative for class — see stats).",0
3,MPHOSPH10,1.0578,RPS13,complex_level,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,Metabolism of proteins,6.934,0.8847,0.986,True,True,1.5277,RPS13,0.8847,7.107,0.8316,5.1129,472,7.0,0,0.173,True,Tbio,,"U3 small nucleolar ribonucleoprotein complex, subunit Mpp10",Metabolism of RNA,"This gene encodes a protein that is phosphorylated during mitosis. The protein localizes to the nucleolus during interphase and to the chromosomes during M phase. The protein associates with the U3 small nucleolar ribonucleoprotein 60-80S complexes and may be involved in pre-rRNA processing. [provided by RefSeq, Dec 2010].",PROTAC_degrader; small_molecule,Structure with Ligand,neurodegenerative disease(0.366); liver disorder(0.285); Hallux valgus(0.027); dyshidrosis(0.023); cancer(0.01),-0.5747,-1.3834,-1.0371,False,True,tolerant,0.0556,0.611,0,False,,rpe1-essential(DepMap -1.4),True,False,True,True,True,"Undrugged (TDL=Tbio). Response-cosine 0.88 to nearest approved anchor RPS13 [complex-level anchor (drug hits whole machine, not this gene)], class Other cytosolic protein. STRING-adjacent+same cluster #5. HYPOTHESIS: same class as RPS13 (80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent) — candidate target, unverified. Safety OK: K562 geneEffect -0.5747, LoF-tolerant, no OT liability/boxed warning. Immune/disease assoc: neurodegenerative disease(0.366); liver disorder(0.285); Hallux valgus. E[N]=7.107 (|Δ|anchor 0.173; E[N] non-discriminative for class — see stats).",5
4,RCL1,1.0544,RPS13,complex_level,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,Metabolism of proteins,6.934,0.8805,0.991,True,True,1.526,RPS13,0.8805,7.194,0.7994,4.8539,424,7.0,0,0.26,True,Tbio,,RNA 3'-terminal phosphate cyclase; RNA 3'-terminal phosphate cyclase type 2,Metabolism of RNA,"Predicted to enable endoribonuclease activity. Predicted to be involved in endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA). Predicted to act upstream of or within endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) and endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA). Predicted to be located in nucleoplasm. Predicted to be active in nucleolus. [provided by Alliance of Genome Resources, Apr 2022]",PROTAC_degrader; small_molecule,Structure with Ligand,Thrombocytopenia(0.393); psychotic disorder(0.334); thrombocytopenia 4(0.256); hemorrhagic disease(0.256); renal osteodystrophy(0.171),-0.8565,-1.0817,-0.866,False,True,tolerant,0.0147,0.828,0,False,,rpe1-essential(DepMap -1.1),True,False,True,True,True,"Undrugged (TDL=Tbio). Response-cosine 0.88 to nearest approved anchor RPS13 [complex-level anchor (drug hits whole machine, not this gene)], class Other cytosolic protein. STRING-adjacent+same cluster #5. HYPOTHESIS: same class as RPS13 (80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent) — candidate target, unverified. Safety OK: K562 geneEffect -0.8565, LoF-tolerant, no OT liability/boxed warning. Immune/disease assoc: Thrombocytopenia(0.393); psychotic disorder(0.334); thrombocytopenia 4. E[N]=7.194 (|Δ|anchor 0.26; E[N] non-discriminative for class — see stats).",5
5,DNTTIP2,1.0515,RPS13,complex_level,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,Metabolism of proteins,6.934,0.8769,0.985,True,True,1.5194,RPS13,0.8769,7.079,0.8528,6.9511,676,7.0,0,0.145,True,Tdark,,Fcf2/DNTTIP2,,"This gene is thought to be involved in chromatin remodeling and gene transcription. The encoded nuclear protein binds to and enhances the transcriptional activity of the estrogen receptor alpha, and also interacts with terminal deoxynucleotidyltransferase. The expression profile of this gene is a potential biomarker for chronic obstructive pulmonary disease. [provided by RefSeq, Dec 2010].",PROTAC_degrader; small_molecule,Structure with Ligand,neurodegenerative disease(0.164); Tinnitus(0.111); alcohol drinking(0.099); Aphasia(0.089); narcolepsy(0.089),-0.536,-0.9787,-0.5637,False,False,tolerant,0.0,0.976,0,False,,no strong safety flag,True,False,True,True,True,"Undrugged (TDL=Tdark). Response-cosine 0.88 to nearest approved anchor RPS13 [complex-level anchor (drug hits whole machine, not this gene)], class Other cytosolic protein. STRING-adjacent+same cluster #5. HYPOTHESIS: same class as RPS13 (80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent) — candidate target, unverified. Safety OK: K562 geneEffect -0.536, LoF-tolerant, no OT liability/boxed warning. Immune/disease assoc: neurodegenerative disease(0.164); Tinnitus(0.111); alcohol drinking(0.. E[N]=7.079 (|Δ|anchor 0.145; E[N] non-discriminative for class — see stats).",5
6,LTV1,1.0479,RPS13,complex_level,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,Metabolism of proteins,6.934,0.8724,0.993,True,True,1.5189,RPS13,0.8724,7.245,0.8377,5.0585,454,7.0,0,0.311,True,Tbio,,Low temperature viability protein Ltv1,Metabolism of RNA,"Predicted to be involved in ribosomal small subunit biogenesis and ribosomal small subunit export from nucleus. Located in cytosol and nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]",PROTAC_degrader; small_molecule,Structure with Ligand,neurodegenerative disease(0.507); Parkinson disease(0.463); lysosomal storage disease(0.462); multiple sclerosis(0.462); Alzheimer disease(0.462),-0.8627,-1.0925,-0.7777,False,True,tolerant,0.0001,0.746,0,False,,rpe1-essential(DepMap -1.1),True,False,True,True,True,"Undrugged (TDL=Tbio). Response-cosine 0.87 to nearest approved anchor RPS13 [complex-level anchor (drug hits whole machine, not this gene)], class Other cytosolic protein. STRING-adjacent+same cluster #5. HYPOTHESIS: same class as RPS13 (80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent) — candidate target, unverified. Safety OK: K562 geneEffect -0.8627, LoF-tolerant, no OT liability/boxed warning. Immune/disease assoc: neurodegenerative disease(0.507); Parkinson disease(0.463); lysosomal . E[N]=7.245 (|Δ|anchor 0.311; E[N] non-discriminative for class — see stats).",5
7,PNO1,1.035,RPS13,complex_level,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,Metabolism of proteins,6.934,0.8562,0.942,True,True,1.4772,RPS13,0.8562,7.031,0.9101,5.1007,473,7.0,0,0.097,True,Tbio,,,Metabolism of RNA,"Enables RNA binding activity. Located in nucleolus and nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]",PROTAC_degrader; small_molecule,Structure with Ligand,Alzheimer disease(0.345); neurodegenerative disease(0.344); lysosomal storage disease(0.344); Parkinson disease(0.344); multiple sclerosis(0.344),-0.6609,-1.4342,-0.6716,False,True,tolerant,0.0589,0.999,0,False,,rpe1-essential(DepMap -1.4),True,False,True,True,True,"Undrugged (TDL=Tbio). Response-cosine 0.86 to nearest approved anchor RPS13 [complex-level anchor (drug hits whole machine, not this gene)], class Other cytosolic protein. STRING-adjacent+same cluster #5. HYPOTHESIS: same class as RPS13 (80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent) — candidate target, unverified. Safety OK: K562 geneEffect -0.6609, LoF-tolerant, no OT liability/boxed warning. Immune/disease assoc: Alzheimer disease(0.345); neurodegenerative disease(0.344); lysosomal . E[N]=7.031 (|Δ|anchor 0.097; E[N] non-discriminative for class — see stats).",5
8,UTP6,1.0317,RPS13,complex_level,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,Metabolism of proteins,6.934,0.8521,0.991,True,True,1.4976,RPS13,0.8521,7.203,0.7469,5.3967,517,7.0,0,0.269,True,Tbio,,U3 small nucleolar RNA-associated protein 6,Metabolism of RNA,"Part of the small subunit (SSU) processome, first precursor of the small eukaryotic ribosomal subunit.",PROTAC_degrader; small_molecule,Structure with Ligand,type 1 diabetes mellitus(0.023),-0.6046,-0.6349,-0.8357,False,False,tolerant,0.0,0.672,0,False,,no strong safety flag,True,False,True,True,True,"Undrugged (TDL=Tbio). Response-cosine 0.85 to nearest approved anchor RPS13 [complex-level anchor (drug hits whole machine, not this gene)], class Other cytosolic protein. STRING-adjacent+same cluster #5. HYPOTHESIS: same class as RPS13 (80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent) — candidate target, unverified. Safety OK: K562 geneEffect -0.6046, LoF-tolerant, no OT liability/boxed warning. Immune/disease assoc: type 1 diabetes mellitus(0.023). E[N]=7.203 (|Δ|anchor 0.269; E[N] non-discriminative for class — see stats).",5
9,NOC3L,1.0307,RPL26,complex_level,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,Metabolism of proteins,7.803,0.8509,0.791,True,True,1.3964,RPL26,0.8509,7.929,0.8834,4.3217,368,8.0,0,0.126,True,Tbio,,Nucleolar complex-associated protein 3,,"Enables RNA binding activity. Predicted to be involved in DNA replication initiation. Predicted to act upstream of or within fat cell differentiation. Located in mitochondrion; nucleolus; and nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]",PROTAC_degrader; small_molecule,Structure with Ligand,hypertensive disorder(0.516); aortic aneurysm(0.448); diabetes mellitus(0.413); abdominal aortic aneurysm(0.409); aneurysm(0.403),-0.5531,-1.0295,-1.0743,False,True,tolerant,0.0,1.08,0,False,,rpe1-essential(DepMap -1.0),True,False,True,True,True,"Undrugged (TDL=Tbio). Response-cosine 0.85 to nearest approved anchor RPL26 [complex-level anchor (drug hits whole machine, not this gene)], class Other cytosolic protein. STRING-adjacent+same cluster #6. HYPOTHESIS: same class as RPL26 (80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent) — candidate target, unverified. Safety OK: K562 geneEffect -0.5531, LoF-tolerant, no OT liability/boxed warning. Immune/disease assoc: hypertensive disorder(0.516); aortic aneurysm(0.448); diabetes mellitu. E[N]=7.929 (|Δ|anchor 0.126; E[N] non-discriminative for class — see stats).",6
10,WDR3,1.0281,RPS13,complex_level,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,Metabolism of proteins,6.934,0.8476,0.985,True,True,1.4901,RPS13,0.8476,7.063,0.8809,4.6125,421,7.0,0,0.129,True,Tbio,Epigenetic regulator; Reader; Methyl-lysine/arginine binding protein; WDR domain,TBC1 domain family involved in cilium biogenesis,Metabolism of RNA,"This gene encodes a nuclear protein containing 10 WD repeats. WD repeats are approximately 30- to 40-amino acid domains containing several conserved residues, which usually include a trp-asp at the C-terminal end. Proteins belonging to the WD repeat family are involved in a variety of cellular processes, including cell cycle progression, signal transduction, apoptosis, and gene regulation. [provided by RefSeq, Jul 2008].",PROTAC_degrader; small_molecule,Structure with Ligand,presbycusis(0.313); respiratory tract infectious disorder(0.162); neurodegenerative disease(0.143); preeclampsia(0.134); familial pancreatic carcinoma(0.088),-0.9158,-1.1839,-1.0668,False,True,tolerant,0.0,0.779,0,False,,rpe1-essential(DepMap -1.2),True,False,True,True,True,"Undrugged (TDL=Tbio). Response-cosine 0.85 to nearest approved anchor RPS13 [complex-level anchor (drug hits whole machine, not this gene)], class Other cytosolic protein. STRING-adjacent+same cluster #5. HYPOTHESIS: same class as RPS13 (80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent) — candidate target, unverified. Safety OK: K562 geneEffect -0.9158, LoF-tolerant, no OT liability/boxed warning. Immune/disease assoc: presbycusis(0.313); respiratory tract infectious disorder(0.162); neur. E[N]=7.063 (|Δ|anchor 0.129; E[N] non-discriminative for class — see stats).",5
