rank,candidate,nearest_approved_anchor,anchor_target_class,anchor_pathway,anchor_moa,anchor_drugs,anchor_specificity,anchor_specificity_note,nearest_anchor_any,nearest_anchor_status,resp_cos_to_anchor_any,resp_cos_to_approved,string_adjacent_to_anchor,string_score_to_approved_anchor,string_max_to_any_anchor,string_best_anchor,shared_cluster_with_anchor,cluster,n_approved_in_cluster,n_anchors_in_cluster,EN,halt_confidence,effect_size,n_de,oracle_rstar,argmin_depth,is_val,anchor_EN,dEN_to_anchor,act_consistent_with_anchor,user_pharos_tdl,tc_2level,pathway_primary,target_class,user_tractability_modality,user_nearest_string_neighbors,user_function,user_annotation_present,depmap_geneEffect_k562,depmap_essential_k562,depmap_depleting_k562,k562_essential_toxflag,gnomad_pli,gnomad_loeuf,lof_constraint_flag,lof_tolerant,ot_safety_liabilities,n_safety_events,low_ot_liability,fda_boxed_warning_flag,fda_boxed,safety_flag_v2,user_immune_disease_assoc,user_depmap_essentiality,safety_pass,z_resp,z_string,proximity_score,safety_bonus,act_bonus,composite_score,composite_score_v2,rationale
1,RFC4,POLD1,Enzyme; Transferase,DNA Repair,DNA polymerase (alpha/delta/epsilon) inhibitor; Ribonucleoside-diphosphate reductase RR1 inhibitor,CLOFARABINE; CYTARABINE; FLUDARABINE PHOSPHATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE,specific,,POLD1,approved_target,0.6484,0.6484,True,0.916,0.968,PRIM1,True,7,8,13,5.192,0.1781,3.0474,214,6.0,6.0,0,5.041,0.151,True,Tbio,,DNA Repair,Unclassified protein,PROTAC_degrader; small_molecule,ATAD5(0.999); CHTF18(0.999); PCNA(0.999); RAD17(0.999); RFC1(0.999),"The elongation of primed DNA templates by DNA polymerase delta and DNA polymerase epsilon requires the accessory proteins proliferating cell nuclear antigen (PCNA) and replication factor C (RFC). RFC, also named activator 1, is a protein complex consisting of five distinct subunits of 140, 40, 38, 37, and 36 kD. This gene encodes the 37 kD subunit. This subunit forms a core complex with the 36 and 40 kDa subunits. The core complex possesses DNA-dependent ATPase activity, which was found to be stimulated by PCNA in an in vitro system. Alternatively spliced transcript variants encoding the same protein have been reported. [provided by RefSeq, Jul 2008].",True,-0.892,False,True,False,0.0,1.096,tolerant,True,NOT_FOUND,0,True,False,False,no strong safety flag,Morimoto-Ryu-Malicdan neuromuscular syndrome(0.53); congenital myopathy with cores(0.372); congenital myopathy(0.372); sensorineural hearing loss disorder(0.37); Sensorineural hearing impairment(0.37),see per-line columns,True,0.6655,0.9169,0.7911,1.0,1.0,0.8538,0.8538,"Undrugged (Pharos Tbio); response cosine 0.65; STRING-adjacent (score 0.92); same Leiden cluster (cl7, 8 approved targets) to approved target POLD1 | → HYPOTHESIS: same class as POLD1 (Enzyme; Transferase; drug: CLOFARABINE; CYTARABINE; FLUDARABINE PHO) | K562 DepMap geneEffect -0.89 (not strongly essential) | immune/disease: Morimoto-Ryu-Malicdan neuromuscular syndrome(0.53); congenit | ACT E[N]=5.19 (|Δ|=0.15 vs anchor; ACT axis redundant to response+effect_size)"
2,RPA3,PRIM1,,DNA Replication,DNA polymerase (alpha/delta/epsilon) inhibitor,CLOFARABINE; CYTARABINE; FLUDARABINE PHOSPHATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE,specific,,PRIM1,approved_target,0.8011,0.8011,True,0.968,0.98,POLD1,True,7,8,13,4.634,0.2881,3.529,283,6.0,6.0,0,4.687,0.053,True,Tbio,,Cellular responses to stimuli,Unclassified protein,PROTAC_degrader; small_molecule,RPA1(0.999); RPA2(0.999); RPA4(0.999); BLM(0.998); CLSPN(0.998),"Enables damaged DNA binding activity and single-stranded DNA binding activity. Involved in DNA repair and DNA replication. Part of DNA replication factor A complex. [provided by Alliance of Genome Resources, Apr 2022]",True,-1.8798,True,False,True,0.0,1.968,tolerant,True,NOT_FOUND,0,True,False,False,k562-essential(DepMap -1.9); rpe1-essential(DepMap -1.8),neurodegenerative disease(0.356); obesity disorder(0.268); iron metabolism disease(0.259); biliary tract disorder(0.213); non-small cell lung adenocarcinoma(0.085),see per-line columns,False,0.8283,0.969,0.8962,0.6,1.0,0.8274,0.8274,"Undrugged (Pharos Tbio); response cosine 0.80; STRING-adjacent (score 0.97); same Leiden cluster (cl7, 8 approved targets) to approved target PRIM1 | → HYPOTHESIS: same class as PRIM1 (unclassified; drug: CLOFARABINE; CYTARABINE; FLUDARABINE PHO) | ⚠ K562-essential (DepMap geneEffect -1.88 < -1.0): likely toxic to inhibit in this line | immune/disease: neurodegenerative disease(0.356); obesity disorder(0.268); i | ACT E[N]=4.63 (|Δ|=0.05 vs anchor; ACT axis redundant to response+effect_size)"
3,GINS4,POLE,,DNA Repair,DNA polymerase (alpha/delta/epsilon) inhibitor,CLOFARABINE; CYTARABINE; FLUDARABINE PHOSPHATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE,specific,,POLE,approved_target,0.6452,0.6452,True,0.994,0.994,POLE,True,7,8,13,2.663,0.5016,3.9297,382,2.0,3.0,0,4.782,2.119,False,Tbio,,DNA Replication,NOT_FOUND,PROTAC_degrader; small_molecule,GINS1(0.999); GINS2(0.999); GINS3(0.999); MCM2(0.999); MCM4(0.999),"The yeast heterotetrameric GINS complex is made up of Sld5, Psf1 (GINS1; MIM 610608), Psf2 (GINS2; MIM 610609), and Psf3 (GINS3; MIM 610610). The formation of the GINS complex is essential for the initiation of DNA replication in yeast and Xenopus egg extracts (Ueno et al., 2005 [PubMed 16287864]). See GINS1 for additional information about the GINS complex.[supplied by OMIM, Mar 2008].",True,-0.8892,False,True,False,0.0061,0.993,tolerant,True,NOT_FOUND,0,True,False,False,rpe1-essential(DepMap -1.1),benign thyroid gland neoplasm(0.335); type 2 diabetes mellitus(0.25); ovarian dysfunction(0.228); neurodegenerative disease(0.165); Wheezing(0.122),see per-line columns,True,0.6621,0.995,0.8127,1.0,0.0,0.8189,0.8189,"Undrugged (Pharos Tbio); response cosine 0.65; STRING-adjacent (score 0.99); same Leiden cluster (cl7, 8 approved targets) to approved target POLE | → HYPOTHESIS: same class as POLE (unclassified; drug: CLOFARABINE; CYTARABINE; FLUDARABINE PHO) | K562 DepMap geneEffect -0.89 (not strongly essential) | immune/disease: benign thyroid gland neoplasm(0.335); type 2 diabetes mellit | ACT E[N]=2.66 (|Δ|=2.12 vs anchor; ACT axis redundant to response+effect_size)"
4,UQCRQ,NDUFB4,,Metabolism,Mitochondrial complex I (NADH dehydrogenase) inhibitor,METFORMIN; METFORMIN HYDROCHLORIDE,specific,,NDUFB4,approved_target,0.5011,0.5011,True,0.997,0.999,NDUFB7,True,0,11,12,5.118,0.1563,2.1447,94,6.0,6.0,0,4.135,0.983,True,Tbio,,Metabolism,NOT_FOUND,PROTAC_degrader; antibody; small_molecule,UQCRC2(0.999); CYC1(0.999); COX4I1(0.999); NDUFB7(0.999); COX5B(0.999),"Component of the ubiquinol-cytochrome c oxidoreductase, a multisubunit transmembrane complex that is part of the mitochondrial electron transport chain which drives oxidative phosphorylation.",True,-0.5907,False,True,False,0.0004,1.728,tolerant,True,NOT_FOUND,0,True,False,False,no strong safety flag,multiple sclerosis(0.271); autoimmune disorder of central nervous system(0.115),common_essential; mean_geneEffect=-0.496,True,0.5085,0.998,0.7291,1.0,1.0,0.8104,0.8104,"Undrugged (Pharos Tbio); response cosine 0.50; STRING-adjacent (score 1.00); same Leiden cluster (cl0, 11 approved targets) to approved target NDUFB4 | → HYPOTHESIS: same class as NDUFB4 (unclassified; drug: METFORMIN; METFORMIN HYDROCHLORIDE) | K562 DepMap geneEffect -0.59 (not strongly essential) | immune/disease: multiple sclerosis(0.271); autoimmune disorder of central ne | ACT E[N]=5.12 (|Δ|=0.98 vs anchor; ACT axis redundant to response+effect_size)"
5,RPA2,PRIM1,,DNA Replication,DNA polymerase (alpha/delta/epsilon) inhibitor,CLOFARABINE; CYTARABINE; FLUDARABINE PHOSPHATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE,specific,,PRIM1,approved_target,0.7566,0.7566,True,0.971,0.971,POLD1,True,7,8,13,4.655,0.2684,4.1823,371,6.0,6.0,0,4.687,0.032,True,Tbio,,Cellular responses to stimuli,Unclassified protein,PROTAC_degrader; small_molecule,RAD52(0.999); RMI1(0.999); RPA1(0.999); RPA3(0.999); SMARCAL1(0.999),"This gene encodes a subunit of the heterotrimeric Replication Protein A (RPA) complex, which binds to single-stranded DNA (ssDNA), forming a nucleoprotein complex that plays an important role in DNA metabolism, being involved in DNA replication, repair, recombination, telomere maintenance, and co-ordinating the cellular response to DNA damage through activation of the ataxia telangiectasia and Rad3-related protein (ATR) kinase. The RPA complex protects single-stranded DNA from nucleases, prevents formation of secondary structures that would interfere with repair, and co-ordinates the recruitment and departure of different genome maintenance factors. The heterotrimeric complex has two different modes of ssDNA binding, a low-affinity and high-affinity mode, determined by which oligonucleotide/oligosaccharide-binding (OB) domains of the complex are utilized, and differing in the length of DNA bound. This subunit contains a single OB domain that participates in high-affinity DNA binding and also contains a winged helix domain at its carboxy terminus, which interacts with many genome maintenance protein. Post-translational modifications of the RPA complex also plays a role in co-ordinating different damage response pathways. [provided by RefSeq, Sep 2017].",True,-1.4371,True,False,True,0.0,1.005,tolerant,True,NOT_FOUND,0,True,False,False,k562-essential(DepMap -1.4); rpe1-essential(DepMap -1.8),alopecia areata(0.162); temporomandibular joint disorder(0.162); neurodegenerative disease(0.138); stroke disorder(0.048); Stroke(0.048),see per-line columns,False,0.7809,0.972,0.8711,0.6,1.0,0.8097,0.8097,"Undrugged (Pharos Tbio); response cosine 0.76; STRING-adjacent (score 0.97); same Leiden cluster (cl7, 8 approved targets) to approved target PRIM1 | → HYPOTHESIS: same class as PRIM1 (unclassified; drug: CLOFARABINE; CYTARABINE; FLUDARABINE PHO) | ⚠ K562-essential (DepMap geneEffect -1.44 < -1.0): likely toxic to inhibit in this line | immune/disease: alopecia areata(0.162); temporomandibular joint disorder(0.1 | ACT E[N]=4.66 (|Δ|=0.03 vs anchor; ACT axis redundant to response+effect_size)"
6,RFC3,POLD1,Enzyme; Transferase,DNA Repair,DNA polymerase (alpha/delta/epsilon) inhibitor; Ribonucleoside-diphosphate reductase RR1 inhibitor,CLOFARABINE; CYTARABINE; FLUDARABINE PHOSPHATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE,specific,,POLD1,approved_target,0.7933,0.7933,True,0.844,0.897,PRIM1,True,7,8,13,4.137,0.1548,2.6167,147,6.0,6.0,0,5.041,0.904,True,Tbio,,DNA Repair,Unclassified protein,PROTAC_degrader; small_molecule,CHTF18(0.999); DSCC1(0.999); PCNA(0.999); RAD17(0.999); RFC1(0.999),"The elongation of primed DNA templates by DNA polymerase delta and DNA polymerase epsilon requires the accessory proteins proliferating cell nuclear antigen (PCNA) and replication factor C (RFC). RFC, also named activator 1, is a protein complex consisting of five distinct subunits of 140, 40, 38, 37, and 36 kDa. This gene encodes the 38 kDa subunit. This subunit is essential for the interaction between the 140 kDa subunit and the core complex that consists of the 36, 37, and 40 kDa subunits. Alternatively spliced transcript variants encoding distinct isoforms have been described. [provided by RefSeq, Jul 2008].",True,-1.9466,True,False,True,0.0,1.153,tolerant,True,NOT_FOUND,0,True,False,False,k562-essential(DepMap -1.9); rpe1-essential(DepMap -1.5),neurodegenerative disease(0.481); ovarian carcinoma(0.376); pulmonary fibrosis(0.307); high grade ovarian serous adenocarcinoma(0.298); adolescent idiopathic scoliosis(0.292),see per-line columns,False,0.82,0.8448,0.8545,0.6,1.0,0.7981,0.7981,"Undrugged (Pharos Tbio); response cosine 0.79; STRING-adjacent (score 0.84); same Leiden cluster (cl7, 8 approved targets) to approved target POLD1 | → HYPOTHESIS: same class as POLD1 (Enzyme; Transferase; drug: CLOFARABINE; CYTARABINE; FLUDARABINE PHO) | ⚠ K562-essential (DepMap geneEffect -1.95 < -1.0): likely toxic to inhibit in this line | immune/disease: neurodegenerative disease(0.481); ovarian carcinoma(0.376);  | ACT E[N]=4.14 (|Δ|=0.90 vs anchor; ACT axis redundant to response+effect_size)"
7,COX5A,NDUFB8,Enzyme; Oxidoreductase,Metabolism,Mitochondrial complex I (NADH dehydrogenase) inhibitor; Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor,METFORMIN; METFORMIN HYDROCHLORIDE,specific,,NDUFB8,approved_target,0.3932,0.3932,True,0.996,0.996,NDUFB8,True,0,11,12,4.186,0.1215,2.3631,122,1.0,1.0,0,5.121,0.935,True,Tbio,,Cellular responses to stimuli,Unclassified protein,PROTAC_degrader; antibody; small_molecule,COX5B(0.999); UQCRFS1(0.999); COX6C(0.999); MT-CO2(0.999); COX6A1(0.999),"Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation.",True,-0.8212,False,True,False,0.653,0.82,tolerant,True,NOT_FOUND,0,True,False,False,no strong safety flag,autoimmune disorder of central nervous system(0.446),common_essential; mean_geneEffect=-0.579,True,0.3935,0.997,0.6655,1.0,1.0,0.7659,0.7659,"Undrugged (Pharos Tbio); response cosine 0.39; STRING-adjacent (score 1.00); same Leiden cluster (cl0, 11 approved targets) to approved target NDUFB8 | → HYPOTHESIS: same class as NDUFB8 (Enzyme; Oxidoreductase; drug: METFORMIN; METFORMIN HYDROCHLORIDE) | K562 DepMap geneEffect -0.82 (not strongly essential) | immune/disease: autoimmune disorder of central nervous system(0.446) | ACT E[N]=4.19 (|Δ|=0.94 vs anchor; ACT axis redundant to response+effect_size)"
8,RAD51C,POLD1,Enzyme; Transferase,DNA Repair,DNA polymerase (alpha/delta/epsilon) inhibitor; Ribonucleoside-diphosphate reductase RR1 inhibitor,CLOFARABINE; CYTARABINE; FLUDARABINE PHOSPHATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE,specific,,POLD1,approved_target,0.4518,0.4518,True,0.812,0.84,ATR,True,7,8,13,5.183,0.1164,2.7173,176,2.0,3.0,0,5.041,0.142,True,Tbio,,Hemostasis,NOT_FOUND,PROTAC_degrader; small_molecule,BRCA2(0.999); PALB2(0.999); RAD51B(0.999); RAD51D(0.999); RAD51D-2(0.999),"This gene is a member of the RAD51 family. RAD51 family members are highly similar to bacterial RecA and Saccharomyces cerevisiae Rad51 and are known to be involved in the homologous recombination and repair of DNA. This protein can interact with other RAD51 paralogs and is reported to be important for Holliday junction resolution. Mutations in this gene are associated with Fanconi anemia-like syndrome. This gene is one of four localized to a region of chromosome 17q23 where amplification occurs frequently in breast tumors. Overexpression of the four genes during amplification has been observed and suggests a possible role in tumor progression. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2013].",True,-0.7966,False,True,False,0.0,1.139,tolerant,True,NOT_FOUND,0,True,False,False,no strong safety flag,Hereditary breast and ovarian cancer syndrome(0.805); Fanconi anemia complementation group O(0.753); Fanconi anemia(0.698); hereditary breast ovarian cancer syndrome(0.663); ovarian cancer(0.661),see per-line columns,True,0.456,0.8128,0.6446,1.0,1.0,0.7512,0.7512,"Undrugged (Pharos Tbio); response cosine 0.45; STRING-adjacent (score 0.81); same Leiden cluster (cl7, 8 approved targets) to approved target POLD1 | → HYPOTHESIS: same class as POLD1 (Enzyme; Transferase; drug: CLOFARABINE; CYTARABINE; FLUDARABINE PHO) | K562 DepMap geneEffect -0.80 (not strongly essential) | immune/disease: Hereditary breast and ovarian cancer syndrome(0.805); Fancon | ACT E[N]=5.18 (|Δ|=0.14 vs anchor; ACT axis redundant to response+effect_size)"
9,GINS1,POLE,,DNA Repair,DNA polymerase (alpha/delta/epsilon) inhibitor,CLOFARABINE; CYTARABINE; FLUDARABINE PHOSPHATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE,specific,,POLE,approved_target,0.7266,0.7266,True,0.989,0.989,POLE,True,7,8,13,2.73,0.4485,4.7688,413,2.0,5.5,0,4.782,2.052,False,Tbio,,DNA Replication,NOT_FOUND,PROTAC_degrader; small_molecule,CDC45(0.999); GINS2(0.999); GINS3(0.999); GINS4(0.999); MCM2(0.999),"The yeast heterotetrameric GINS complex is made up of Sld5 (GINS4; MIM 610611), Psf1, Psf2 (GINS2; MIM 610609), and Psf3 (GINS3; MIM 610610). The formation of the GINS complex is essential for the initiation of DNA replication in yeast and Xenopus egg extracts (Ueno et al., 2005 [PubMed 16287864]).[supplied by OMIM, Mar 2008].",True,-2.6731,True,False,True,0.0778,1.888,tolerant,True,NOT_FOUND,0,True,False,False,k562-essential(DepMap -2.7); rpe1-essential(DepMap -2.1),combined immunodeficiency due to GINS1 deficiency(0.683); fetal growth restriction(0.462); PHARC syndrome(0.425); Abnormality of the gastrointestinal tract(0.239); neurodegenerative disease(0.14),see per-line columns,False,0.7489,0.99,0.8589,0.6,0.0,0.7512,0.7512,"Undrugged (Pharos Tbio); response cosine 0.73; STRING-adjacent (score 0.99); same Leiden cluster (cl7, 8 approved targets) to approved target POLE | → HYPOTHESIS: same class as POLE (unclassified; drug: CLOFARABINE; CYTARABINE; FLUDARABINE PHO) | ⚠ K562-essential (DepMap geneEffect -2.67 < -1.0): likely toxic to inhibit in this line | immune/disease: combined immunodeficiency due to GINS1 deficiency(0.683); fe | ACT E[N]=2.73 (|Δ|=2.05 vs anchor; ACT axis redundant to response+effect_size)"
10,COX6C,NDUFB10,Enzyme; Oxidoreductase,,Mitochondrial complex I (NADH dehydrogenase) inhibitor; Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor,METFORMIN; METFORMIN HYDROCHLORIDE,specific,,NDUFB10,approved_target,0.383,0.383,True,0.939,0.985,NDUFB4,True,0,11,12,4.17,0.1566,1.8086,51,1.0,1.0,0,5.074,0.904,True,Tbio,,Cellular responses to stimuli,Unclassified protein,PROTAC_degrader; antibody; small_molecule,COX6A1(0.999); COX4I1(0.999); MT-CO2(0.999); COX5B(0.999); COX6B1(0.999),"Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation.",True,-0.6682,False,True,False,0.3252,1.231,tolerant,True,NOT_FOUND,0,True,False,False,no strong safety flag,acute myeloid leukemia(0.186),common_essential; mean_geneEffect=-0.499,True,0.3827,0.9399,0.6424,1.0,1.0,0.7497,0.7497,"Undrugged (Pharos Tbio); response cosine 0.38; STRING-adjacent (score 0.94); same Leiden cluster (cl0, 11 approved targets) to approved target NDUFB10 | → HYPOTHESIS: same class as NDUFB10 (Enzyme; Oxidoreductase; drug: METFORMIN; METFORMIN HYDROCHLORIDE) | K562 DepMap geneEffect -0.67 (not strongly essential) | immune/disease: acute myeloid leukemia(0.186) | ACT E[N]=4.17 (|Δ|=0.90 vs anchor; ACT axis redundant to response+effect_size)"
