rank,candidate,nearest_approved_anchor,anchor_target_class,anchor_mechanism,anchor_pharos_tdl,anchor_approved_drugs,anchor_E_N,composite_score,proximity_score,response_cosine,string_score,string_adjacent,user_neighbor_crosscheck,n_approved_anchors_string_adjacent,shared_cluster,cluster,n_approved_in_cluster,E_N,delta_E_N,act_consistent,halt_confidence,oracle_rstar,effect_size,n_de,is_val,target_class,tc_top,user_pharos_tdl,user_immune_disease_assoc,user_pathway_family,ot_tractability_sm,ot_tractability_ab,user_tractability_modality,depmap_geneEffect_rpe1,depmap_essential_rpe1,depmap_depleting_rpe1,essential_this_line,essentiality_known,gnomad_pli,gnomad_loeuf,lof_constraint_flag,lof_intolerant,n_safety_events,fda_boxed_warning_flag,ot_safety_liabilities,ot_liability,boxed_warning,safety_flag_v2,safety_pass,n_safety_flags,user_annotation_present,rationale
1,LSG1,RPL8,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,Tbio,ATALUREN,7.999,1.023,0.93,0.9053,0.967,True,False,23,False,6,0,8.0,0.001,True,0.9983,8.0,8.7699,717,0,Enzyme; Hydrolase,Enzyme,Tbio,neurodegenerative disease(0.503); arthropathy(0.195); placenta praevia(0.058); urethral syndrome(0.058); nonpapillary renal cell carcinoma(0.053),NOT_FOUND,NOT_FOUND,NOT_FOUND,PROTAC_degrader,-0.9999,False,True,False,True,0.0,0.843,tolerant,False,0,False,NOT_FOUND,False,False,no strong safety flag,True,0,True,"Undrugged gene; nearest approved target RPL8 (Enzyme; Hydrolase). Proximity: high response cosine 0.91; STRING-adjacent (score 0.97). ACT E[N]=8.00 vs anchor 8.00 (Δ=+0.00), halting-consistent with anchor. Safety: rpe1 geneEffect -1.00 (tolerated). HYPOTHESIS: candidate may act in the same target class as RPL8; requires experimental validation."
2,PES1,RPL23A,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,Tbio,ATALUREN,7.999,1.0117,0.9197,0.8755,0.986,True,False,24,False,6,0,8.0,0.001,True,0.9992,8.0,8.0449,710,0,Unclassified protein,Unclassified protein,Tbio,schizophrenia(0.111); aortic stenosis(0.111); neoplasm(0.102); head and neck squamous cell carcinoma(0.097); megaloblastic anemia(0.082),Metabolism of RNA,Structure with Ligand,NOT_FOUND,PROTAC_degrader; small_molecule,-0.9079,False,True,False,True,0.5024,0.544,tolerant,False,0,False,NOT_FOUND,False,False,k562-essential(DepMap -1.0),True,0,True,"Undrugged gene; nearest approved target RPL23A (Unclassified protein). Proximity: high response cosine 0.88; STRING-adjacent (score 0.99). ACT E[N]=8.00 vs anchor 8.00 (Δ=+0.00), halting-consistent with anchor. Safety: rpe1 geneEffect -0.91 (tolerated). HYPOTHESIS: candidate may act in the same target class as RPL23A; requires experimental validation."
3,RFC4,PRIM1,NOT_FOUND,DNA polymerase (alpha/delta/epsilon) inhibitor,Tbio,CLOFARABINE; CYTARABINE; FLUDARABINE PHOSPHATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE,5.003,0.9898,0.8998,0.8544,0.968,True,False,9,True,0,15,5.405,0.402,True,0.6151,5.0,7.239,662,0,Unclassified protein,Unclassified protein,Tbio,Morimoto-Ryu-Malicdan neuromuscular syndrome(0.53); congenital myopathy with cores(0.372); congenital myopathy(0.372); sensorineural hearing loss disorder(0.37); Sensorineural hearing impairment(0.37),DNA Repair; Cell Cycle; Gene expression (Transcription); Disease; DNA Replication,Structure with Ligand,NOT_FOUND,PROTAC_degrader; small_molecule,-0.8301,False,True,False,True,0.0,1.096,tolerant,False,0,False,NOT_FOUND,False,False,no strong safety flag,True,0,True,"Undrugged gene; nearest approved target PRIM1 (Unclassified protein). Proximity: high response cosine 0.85; STRING-adjacent (score 0.97); same cluster (0). ACT E[N]=5.41 vs anchor 5.00 (Δ=+0.40), halting-consistent with anchor. Safety: rpe1 geneEffect -0.83 (tolerated). HYPOTHESIS: candidate may act in the same target class as PRIM1; requires experimental validation."
4,MRPL34,RPL23,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,Tbio,ATALUREN,7.999,0.9605,0.8732,0.8207,0.952,True,False,7,False,7,0,7.975,-0.024,True,0.9592,8.0,5.8316,467,0,NOT_FOUND,,Tdark,multiple sclerosis(0.321),Metabolism of proteins,Structure with Ligand,NOT_FOUND,PROTAC_degrader; small_molecule,-0.4897,False,False,False,True,0.0,1.901,tolerant,False,0,False,NOT_FOUND,False,False,k562-essential(DepMap -1.5),True,0,True,"Undrugged gene; nearest approved target RPL23 (NOT_FOUND). Proximity: high response cosine 0.82; STRING-adjacent (score 0.95). ACT E[N]=7.97 vs anchor 8.00 (Δ=-0.02), halting-consistent with anchor. Safety: rpe1 geneEffect -0.49 (tolerated). HYPOTHESIS: candidate may act in the same target class as RPL23; requires experimental validation."
5,ORC1,PRIM2,NOT_FOUND,DNA polymerase (alpha/delta/epsilon) inhibitor,Tbio,CLOFARABINE; CYTARABINE; FLUDARABINE PHOSPHATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE,4.965,0.9346,0.8496,0.7979,0.927,True,False,15,True,0,15,5.195,0.23,True,0.748,5.0,8.9581,798,1,NOT_FOUND,,Tbio,Ear-patella-short stature syndrome(0.794); neurodegenerative disease(0.462); Meier-Gorlin syndrome(0.457); hereditary disease(0.404); microcephalic primordial dwarfism(0.37),DNA Replication; Cell Cycle,Structure with Ligand,NOT_FOUND,PROTAC_degrader; small_molecule,-0.9803,False,True,False,True,0.0,0.719,tolerant,False,0,False,NOT_FOUND,False,False,no strong safety flag,True,0,True,"Undrugged gene; nearest approved target PRIM2 (NOT_FOUND). Proximity: high response cosine 0.80; STRING-adjacent (score 0.93); same cluster (0). ACT E[N]=5.20 vs anchor 4.96 (Δ=+0.23), halting-consistent with anchor. Safety: rpe1 geneEffect -0.98 (tolerated). HYPOTHESIS: candidate may act in the same target class as PRIM2; requires experimental validation."
6,MCM3,POLD3,Enzyme,DNA polymerase (alpha/delta/epsilon) inhibitor; Ribonucleoside-diphosphate reductase RR1 inhibitor,Tbio,CLOFARABINE; CYTARABINE; FLUDARABINE PHOSPHATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE,4.59,0.9289,0.9289,0.9222,0.939,True,False,11,True,0,15,5.692,1.102,False,0.4873,6.5,6.7175,564,0,Enzyme; Hydrolase,Enzyme,Tbio,neurodegenerative disease(0.298); Meier-Gorlin syndrome(0.12); hepatocellular carcinoma(0.109); cancer(0.098); neoplasm(0.085),DNA Replication; Cell Cycle,Structure with Ligand,NOT_FOUND,PROTAC_degrader; small_molecule,-0.6973,False,True,False,True,0.0,0.812,tolerant,False,0,False,NOT_FOUND,False,False,no strong safety flag,True,0,True,"Undrugged gene; nearest approved target POLD3 (Enzyme; Hydrolase). Proximity: high response cosine 0.92; STRING-adjacent (score 0.94); same cluster (0). ACT E[N]=5.69 vs anchor 4.59 (Δ=+1.10), halting differs from anchor. Safety: rpe1 geneEffect -0.70 (tolerated). HYPOTHESIS: candidate may act in the same target class as POLD3; requires experimental validation."
7,DDX52,RPS6,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,Tbio,ATALUREN,7.999,0.9281,0.8437,0.8455,0.841,True,False,5,False,6,0,7.997,-0.002,True,0.9923,8.0,9.4152,797,1,NOT_FOUND,,Tbio,NOT_FOUND,NOT_FOUND,Structure with Ligand,NOT_FOUND,NOT_FOUND,,False,False,False,False,0.0,0.889,tolerant,False,0,False,NOT_FOUND,False,False,no strong safety flag,True,0,True,"Undrugged gene; nearest approved target RPS6 (NOT_FOUND). Proximity: high response cosine 0.85; STRING-adjacent (score 0.84). ACT E[N]=8.00 vs anchor 8.00 (Δ=-0.00), halting-consistent with anchor. Safety: rpe1 essentiality unknown. HYPOTHESIS: candidate may act in the same target class as RPS6; requires experimental validation."
8,MAD2L2,POLD2,Enzyme,DNA polymerase (alpha/delta/epsilon) inhibitor; Ribonucleoside-diphosphate reductase RR1 inhibitor,Tbio,CLOFARABINE; CYTARABINE; FLUDARABINE PHOSPHATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE,5.231,0.9127,0.8297,0.7169,0.999,True,True,7,True,0,15,6.193,0.962,True,0.3235,8.0,2.2044,110,0,Unclassified protein,Unclassified protein,Tbio,Fanconi anemia(0.555); Fanconi anemia complementation group V(0.513); acute myeloid leukemia(0.463),DNA Repair,Structure with Ligand,NOT_FOUND,PROTAC_degrader; small_molecule,-0.8969,False,True,False,True,0.0031,0.806,tolerant,False,0,False,NOT_FOUND,False,False,k562-essential(DepMap -1.3),True,0,True,"Undrugged gene; nearest approved target POLD2 (Unclassified protein). Proximity: high response cosine 0.72; STRING-adjacent (score 1.00); confirmed in user STRING-neighbor list; same cluster (0). ACT E[N]=6.19 vs anchor 5.23 (Δ=+0.96), halting-consistent with anchor. Safety: rpe1 geneEffect -0.90 (tolerated). HYPOTHESIS: candidate may act in the same target class as POLD2; requires experimental validation."
9,MRPL49,RPS13,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,Tbio,ATALUREN,7.994,0.9121,0.8292,0.8501,0.798,True,False,7,False,7,0,7.99,-0.004,True,0.9773,8.0,6.8419,696,0,NOT_FOUND,,Tbio,NOT_FOUND,Metabolism of proteins,Structure with Ligand,NOT_FOUND,PROTAC_degrader; small_molecule,-0.3448,False,False,False,True,0.0007,1.085,tolerant,False,0,False,NOT_FOUND,False,False,k562-essential(DepMap -1.6),True,0,True,"Undrugged gene; nearest approved target RPS13 (NOT_FOUND). Proximity: high response cosine 0.85; STRING-adjacent (score 0.80). ACT E[N]=7.99 vs anchor 7.99 (Δ=-0.00), halting-consistent with anchor. Safety: rpe1 geneEffect -0.34 (tolerated). HYPOTHESIS: candidate may act in the same target class as RPS13; requires experimental validation."
10,MCM6,PRIM1,NOT_FOUND,DNA polymerase (alpha/delta/epsilon) inhibitor,Tbio,CLOFARABINE; CYTARABINE; FLUDARABINE PHOSPHATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE,5.003,0.9118,0.9118,0.8983,0.932,True,False,8,True,0,15,6.104,1.101,False,0.4536,5.0,7.0933,610,0,Enzyme; Hydrolase,Enzyme,Tbio,lactose intolerance(0.289); neurodegenerative disease(0.225); muscle strain(0.22); sprain(0.22); systemic lupus erythematosus(0.196),DNA Replication; Cell Cycle,Structure with Ligand,NOT_FOUND,PROTAC_degrader; small_molecule,-0.4093,False,False,False,True,0.0,0.676,tolerant,False,0,False,NOT_FOUND,False,False,k562-essential(DepMap -1.0),True,0,True,"Undrugged gene; nearest approved target PRIM1 (Enzyme; Hydrolase). Proximity: high response cosine 0.90; STRING-adjacent (score 0.93); same cluster (0). ACT E[N]=6.10 vs anchor 5.00 (Δ=+1.10), halting differs from anchor. Safety: rpe1 geneEffect -0.41 (tolerated). HYPOTHESIS: candidate may act in the same target class as PRIM1; requires experimental validation."
