perturbation,line,state,EN_mean,EN_lo,EN_hi,argmin_mean,argmin_lo,argmin_hi,rstar_mean,rstar_lo,rstar_hi,splithalf_rho_EN,splithalf_rho_argmin,occ_entropy,state_div,cell_disp,effect_size,n_de,n_cells
AARS,hepg2,G1,7.7253,7.6748,7.7701,7.667,7.0,8.0,7.4,7.0,8.0,0.9808,0.8698,0.6131,0.16717,0.12458,8.214,730,51
AARS,hepg2,S,7.7126,7.6723,7.7316,7.933,7.35,8.0,7.867,7.0,8.0,0.9834,0.8491,0.6131,0.16717,0.12458,8.214,730,51
AARS,hepg2,G2M,7.7167,7.6799,7.7566,8.0,8.0,8.0,8.0,8.0,8.0,0.9841,0.8517,0.6131,0.16717,0.12458,8.214,730,51
ABCB7,hepg2,G1,7.8579,7.7701,7.8832,8.0,8.0,8.0,8.0,8.0,8.0,0.9808,0.8698,1.0421,0.02705,0.12346,3.2316,249,70
ABCB7,hepg2,S,7.8602,7.7905,7.8887,8.0,8.0,8.0,8.0,8.0,8.0,0.9834,0.8491,1.0421,0.02705,0.12346,3.2316,249,70
ABCB7,hepg2,G2M,7.8705,7.8508,7.8893,8.0,8.0,8.0,8.0,8.0,8.0,0.9841,0.8517,1.0421,0.02705,0.12346,3.2316,249,70
ACTR1B,hepg2,G1,5.9038,5.6463,6.1193,6.0,6.0,6.0,6.0,6.0,6.0,0.9808,0.8698,1.0755,0.00109,0.12541,2.4666,158,42
ACTR1B,hepg2,S,5.8898,5.633,6.1044,6.0,6.0,6.0,6.0,6.0,6.0,0.9834,0.8491,1.0755,0.00109,0.12541,2.4666,158,42
ACTR1B,hepg2,G2M,5.9161,5.6051,6.274,6.0,6.0,6.0,6.0,6.0,6.0,0.9841,0.8517,1.0755,0.00109,0.12541,2.4666,158,42
ACTR6,hepg2,G1,7.5414,7.2638,7.6713,3.0,1.0,5.6,3.0,1.0,5.6,0.9808,0.8698,1.0907,0.00372,0.12851,3.0165,257,51
ACTR6,hepg2,S,7.5663,7.3637,7.702,3.267,1.7,6.3,3.267,1.7,6.3,0.9834,0.8491,1.0907,0.00372,0.12851,3.0165,257,51
ACTR6,hepg2,G2M,7.4971,7.1688,7.6668,3.467,1.0,7.0,3.467,1.0,7.0,0.9841,0.8517,1.0907,0.00372,0.12851,3.0165,257,51
ACTR8,hepg2,G1,7.9523,7.9417,7.9586,7.867,6.7,8.0,7.533,5.35,8.0,0.9808,0.8698,1.0163,0.03712,0.14048,3.383,279,70
ACTR8,hepg2,S,7.9551,7.9465,7.9606,6.867,6.0,8.0,6.533,6.0,8.0,0.9834,0.8491,1.0163,0.03712,0.14048,3.383,279,70
ACTR8,hepg2,G2M,7.9516,7.9445,7.9577,6.933,6.0,8.0,6.933,6.0,8.0,0.9841,0.8517,1.0163,0.03712,0.14048,3.383,279,70
ADRM1,hepg2,G1,7.9463,7.9356,7.9545,8.0,8.0,8.0,8.0,8.0,8.0,0.9808,0.8698,1.0713,0.00276,0.11464,2.5723,149,43
ADRM1,hepg2,S,7.9476,7.9404,7.9538,8.0,8.0,8.0,8.0,8.0,8.0,0.9834,0.8491,1.0713,0.00276,0.11464,2.5723,149,43
ADRM1,hepg2,G2M,7.9468,7.9398,7.9528,8.0,8.0,8.0,8.0,8.0,8.0,0.9841,0.8517,1.0713,0.00276,0.11464,2.5723,149,43
AGBL5,hepg2,G1,7.6366,7.4875,7.7342,5.6,3.0,6.0,5.4,3.0,6.0,0.9808,0.8698,1.0594,0.00725,0.13923,3.3098,290,47
AGBL5,hepg2,S,7.6799,7.5721,7.8353,5.6,3.0,6.0,5.133,2.35,6.0,0.9834,0.8491,1.0594,0.00725,0.13923,3.3098,290,47
AGBL5,hepg2,G2M,7.7076,7.5946,7.8185,5.533,3.0,7.3,5.533,3.0,7.3,0.9841,0.8517,1.0594,0.00725,0.13923,3.3098,290,47
AHCTF1,hepg2,G1,7.7736,7.7023,7.8334,3.333,3.0,6.25,3.333,3.0,6.25,0.9808,0.8698,0.9671,0.05279,0.14817,3.9595,358,50
AHCTF1,hepg2,S,7.7938,7.738,7.8513,3.333,3.0,6.25,3.333,3.0,6.25,0.9834,0.8491,0.9671,0.05279,0.14817,3.9595,358,50
AHCTF1,hepg2,G2M,7.7692,7.6867,7.829,3.0,3.0,3.0,3.0,3.0,3.0,0.9841,0.8517,0.9671,0.05279,0.14817,3.9595,358,50
AKIRIN2,hepg2,G1,7.9277,7.9194,7.9369,8.0,8.0,8.0,8.0,8.0,8.0,0.9808,0.8698,1.097,0.00526,0.13067,2.3656,140,75
AKIRIN2,hepg2,S,7.9306,7.9183,7.9367,7.8,7.0,8.0,7.8,7.0,8.0,0.9834,0.8491,1.097,0.00526,0.13067,2.3656,140,75
AKIRIN2,hepg2,G2M,7.9305,7.9185,7.9359,7.933,7.35,8.0,7.933,7.35,8.0,0.9841,0.8517,1.097,0.00526,0.13067,2.3656,140,75
ANAPC1,hepg2,G1,7.9131,7.8995,7.9295,7.0,7.0,7.0,7.0,7.0,7.0,0.9808,0.8698,1.0567,0.01006,0.12687,2.29,113,73
ANAPC1,hepg2,S,7.9106,7.9046,7.9238,7.0,7.0,7.0,7.0,7.0,7.0,0.9834,0.8491,1.0567,0.01006,0.12687,2.29,113,73
ANAPC1,hepg2,G2M,7.9146,7.9034,7.9264,7.0,7.0,7.0,7.0,7.0,7.0,0.9841,0.8517,1.0567,0.01006,0.12687,2.29,113,73
ANAPC11,hepg2,G1,7.9425,7.9379,7.9478,7.8,7.0,8.0,7.6,5.7,8.0,0.9808,0.8698,1.0904,0.00287,0.127,2.0184,68,76
ANAPC11,hepg2,S,7.9458,7.9417,7.9494,7.0,5.7,8.0,6.467,5.0,8.0,0.9834,0.8491,1.0904,0.00287,0.127,2.0184,68,76
ANAPC11,hepg2,G2M,7.9448,7.9364,7.9489,7.733,7.0,8.0,7.267,5.0,8.0,0.9841,0.8517,1.0904,0.00287,0.127,2.0184,68,76
ANAPC13,hepg2,G1,7.946,7.8935,7.9639,7.067,6.0,8.0,6.933,6.0,8.0,0.9808,0.8698,1.0912,0.00724,0.13411,2.514,169,54
ANAPC13,hepg2,S,7.9494,7.9303,7.9611,6.0,6.0,6.0,6.0,6.0,6.0,0.9834,0.8491,1.0912,0.00724,0.13411,2.514,169,54
ANAPC13,hepg2,G2M,7.947,7.9238,7.9648,6.267,6.0,8.0,6.0,6.0,6.0,0.9841,0.8517,1.0912,0.00724,0.13411,2.514,169,54
ANAPC5,hepg2,G1,7.9524,7.9194,7.9623,7.0,7.0,7.0,7.0,7.0,7.0,0.9808,0.8698,0.864,0.05672,0.13849,3.5815,274,59
ANAPC5,hepg2,S,7.9559,7.9405,7.9629,7.0,7.0,7.0,7.0,7.0,7.0,0.9834,0.8491,0.864,0.05672,0.13849,3.5815,274,59
ANAPC5,hepg2,G2M,7.9597,7.9507,7.9634,7.0,7.0,7.0,7.0,7.0,7.0,0.9841,0.8517,0.864,0.05672,0.13849,3.5815,274,59
ANKLE2,hepg2,G1,7.8748,7.8497,7.9065,1.067,1.0,1.65,1.067,1.0,1.65,0.9808,0.8698,1.0582,0.00558,0.12683,1.8615,49,83
ANKLE2,hepg2,S,7.8782,7.8536,7.9092,1.067,1.0,1.65,1.067,1.0,1.65,0.9834,0.8491,1.0582,0.00558,0.12683,1.8615,49,83
ANKLE2,hepg2,G2M,7.8702,7.8485,7.91,1.133,1.0,2.0,1.133,1.0,2.0,0.9841,0.8517,1.0582,0.00558,0.12683,1.8615,49,83
ANKRD11,hepg2,G1,7.5664,7.0624,7.7438,8.0,8.0,8.0,8.0,8.0,8.0,0.9808,0.8698,1.0942,0.00086,0.11348,2.0635,47,92
ANKRD11,hepg2,S,7.519,7.076,7.8201,8.0,8.0,8.0,8.0,8.0,8.0,0.9834,0.8491,1.0942,0.00086,0.11348,2.0635,47,92
ANKRD11,hepg2,G2M,7.543,7.1041,7.7593,8.0,8.0,8.0,8.0,8.0,8.0,0.9841,0.8517,1.0942,0.00086,0.11348,2.0635,47,92
ANKS6,hepg2,G1,7.3264,7.1799,7.5459,1.8,1.0,5.0,1.8,1.0,5.0,0.9808,0.8698,1.0083,0.01275,0.1215,2.0379,74,62
ANKS6,hepg2,S,7.2781,7.1325,7.3561,2.4,1.0,8.0,2.4,1.0,8.0,0.9834,0.8491,1.0083,0.01275,0.1215,2.0379,74,62
ANKS6,hepg2,G2M,7.2912,7.1121,7.4573,1.467,1.0,5.55,1.467,1.0,5.55,0.9841,0.8517,1.0083,0.01275,0.1215,2.0379,74,62
ARL2,hepg2,G1,7.9121,7.9004,7.9265,7.0,7.0,7.0,7.0,7.0,7.0,0.9808,0.8698,1.0941,0.00184,0.13424,2.3169,111,74
ARL2,hepg2,S,7.9162,7.9078,7.9389,7.0,7.0,7.0,7.0,7.0,7.0,0.9834,0.8491,1.0941,0.00184,0.13424,2.3169,111,74
ARL2,hepg2,G2M,7.9136,7.9027,7.9212,7.0,7.0,7.0,7.0,7.0,7.0,0.9841,0.8517,1.0941,0.00184,0.13424,2.3169,111,74
ARMC7,hepg2,G1,5.2046,5.1558,5.3223,6.667,5.0,7.65,6.467,5.0,7.0,0.9808,0.8698,1.0911,0.00719,0.12709,2.6277,160,65
ARMC7,hepg2,S,5.1911,5.1664,5.2132,6.733,5.0,7.0,6.467,5.0,7.0,0.9834,0.8491,1.0911,0.00719,0.12709,2.6277,160,65
