perturbation,line,EN_global,argmin_depth,oracle_rstar,D_1,D_final,D_min,path_length,direct_displacement,indirectness,nonlin_correction,progression_dip,nonmonotonicity,recovery,effect_size,n_de,n_cells,prog_L0,prog_L1,prog_L2,prog_L3,prog_L4,prog_L5,prog_L6,prog_L7,prog_L8,late_cell_cycle,late_dna_damage,late_translation,late_stress,late_apoptosis,late_interferon,late_mitochondrial,slope_cell_cycle,slope_dna_damage,slope_translation,slope_stress,slope_apoptosis,slope_interferon,slope_mitochondrial
AARS,hepg2,7.7321,8.0,8.0,0.9195,0.56999,0.56999,85.54155,14.49929,5.8997,0.91009,0.0763,2,0.9237,8.214,730,51,0.0896,0.0899,0.0763,0.1267,0.1834,0.1798,0.2326,0.394,1.0,-0.25878,-0.08622,0.13672,0.12947,0.0684,-0.07334,-0.10458,-0.042279,-0.016169,0.027105,0.019628,0.010664,-0.009805,-0.014344
ABCB7,hepg2,7.8729,8.0,8.0,1.19034,0.88398,0.88398,85.44115,13.27448,6.4365,1.19147,-0.1915,1,1.1915,3.2316,249,70,-0.2384,-0.1915,-0.1805,-0.1227,-0.112,-0.1169,-0.0409,0.0176,1.0,-0.25492,-0.11741,-0.26399,-0.03726,0.02853,-0.04289,0.04143,-0.039942,-0.019453,-0.036059,-0.004572,0.005469,-0.006347,0.008451
ACTR1B,hepg2,5.8841,6.0,6.0,1.05973,0.98142,0.94184,90.4807,10.9855,8.2364,1.38549,-0.3855,2,1.3855,2.4666,158,42,-0.4148,-0.3855,-0.3609,-0.2999,-0.3059,-0.2069,-0.1781,-0.3253,1.0,-0.15466,-0.14882,-0.07367,0.02111,-0.02132,-0.14013,0.03229,-0.025003,-0.023557,-0.010587,0.00419,-0.003486,-0.021965,0.007435
ACTR6,hepg2,7.613,7.0,7.0,0.97666,0.98458,0.9531,92.62031,12.60903,7.3456,1.19161,-0.1916,2,1.1916,3.0165,257,51,-0.2386,-0.1916,-0.1847,-0.176,-0.1539,-0.0476,-0.0607,-0.116,1.0,-0.17071,-0.14265,-0.23475,0.0064,0.02899,-0.03364,0.01611,-0.027179,-0.022054,-0.033848,0.000813,0.004733,-0.007893,0.004381
ACTR8,hepg2,7.9519,6.0,6.0,1.06346,0.97858,0.96088,93.98299,12.66386,7.4214,1.33285,-0.3328,2,1.3328,3.383,279,70,-0.3564,-0.3328,-0.3166,-0.318,-0.2586,-0.2038,-0.2249,-0.1687,1.0,-0.19472,-0.15975,-0.47062,-0.04209,-0.02869,-0.10989,-0.00406,-0.032402,-0.02609,-0.068136,-0.006039,-0.005039,-0.017752,-0.001508
ADRM1,hepg2,7.9486,8.0,8.0,1.09999,0.9847,0.9847,88.91977,12.12988,7.3306,1.31664,-0.3579,2,1.3579,2.5723,149,43,-0.3599,-0.3166,-0.3124,-0.2967,-0.3378,-0.3579,-0.2546,-0.2001,1.0,-0.12657,-0.14157,-0.12492,0.02934,0.01521,-0.11075,-0.00487,-0.019196,-0.022904,-0.018838,0.00544,0.003108,-0.017346,0.001562
AGBL5,hepg2,7.6344,3.0,3.0,0.99599,0.9634,0.95664,99.02715,13.20396,7.4998,1.19647,-0.1965,3,1.1965,3.3098,290,47,-0.1113,-0.1965,-0.1758,-0.1026,-0.1619,-0.1268,-0.1374,0.0402,1.0,-0.24362,-0.06843,-0.34996,0.02496,0.03838,-0.06325,0.06119,-0.040838,-0.012886,-0.052666,0.003264,0.006782,-0.008992,0.008894
AHCTF1,hepg2,7.7201,3.0,3.0,0.92746,0.93969,0.8785,98.82616,11.34971,8.7074,0.8667,0.0349,4,0.9651,3.9595,358,50,0.0267,0.1333,0.1258,0.1652,0.1352,0.0528,0.0349,0.133,1.0,-0.06616,0.01049,-0.45211,-0.00551,0.11786,-0.0481,0.08945,-0.011977,0.000345,-0.063017,-3.4e-05,0.018489,-0.007878,0.0149
AKIRIN2,hepg2,7.9243,8.0,8.0,1.09277,0.96274,0.96274,88.63603,12.67198,6.9946,1.08584,-0.1575,3,1.1575,2.3656,140,75,-0.2395,-0.0858,-0.0414,-0.0039,-0.0238,-0.0894,-0.1575,-0.074,1.0,-0.14552,-0.08493,-0.29808,0.00024,0.03257,-0.06833,0.09232,-0.025502,-0.016184,-0.039581,0.000346,0.005318,-0.010595,0.015694
ANAPC1,hepg2,7.9138,7.0,7.0,0.99019,0.9656,0.88527,88.23902,12.83055,6.8773,1.17635,-0.186,3,1.186,2.29,113,73,-0.2932,-0.1763,-0.1366,-0.0667,-0.0949,-0.1579,-0.186,-0.0026,1.0,-0.17115,-0.07786,-0.40079,-0.03234,0.02305,-0.06638,0.07093,-0.028875,-0.013806,-0.056923,-0.003773,0.005113,-0.00996,0.013283
ANAPC11,hepg2,7.9451,8.0,5.0,1.0566,0.97643,0.97643,84.21796,11.56815,7.2802,1.22418,-0.2242,4,1.2242,2.0184,68,76,-0.1647,-0.2242,-0.2166,-0.217,-0.139,-0.0608,-0.0719,-0.126,1.0,-0.18124,-0.13816,-0.22594,0.01368,0.01526,-0.1086,0.01688,-0.029813,-0.023065,-0.030359,0.002582,0.002067,-0.016673,0.004956
ANAPC13,hepg2,7.9491,6.0,6.0,1.03815,0.98951,0.97903,86.9911,12.34197,7.0484,1.35009,-0.3501,1,1.3501,2.514,169,54,-0.3714,-0.3501,-0.3435,-0.3146,-0.3101,-0.2904,-0.2435,-0.2471,1.0,-0.16884,-0.14732,-0.19875,0.07035,0.03952,-0.09444,0.00615,-0.026802,-0.023689,-0.027554,0.011887,0.005979,-0.015497,0.003104
ANAPC5,hepg2,7.9393,7.0,7.0,0.96449,1.00185,0.82242,79.47723,12.43859,6.3896,1.3818,-0.3818,1,1.3818,3.5815,274,59,-0.4066,-0.3818,-0.3673,-0.3596,-0.3551,-0.2883,-0.3108,-0.2026,1.0,-0.14879,-0.12951,-0.2353,-0.02749,-0.00607,-0.10345,-0.00394,-0.025803,-0.021613,-0.032563,-0.002601,-0.000527,-0.015991,0.001347
ANKLE2,hepg2,7.8576,1.0,1.0,0.92641,1.00407,0.92641,87.93909,11.59416,7.5848,1.18195,-0.2396,2,1.2396,1.8615,49,83,-0.2329,-0.1819,-0.1532,-0.1409,-0.1688,-0.1549,-0.1305,-0.2396,1.0,-0.07035,-0.04998,-0.35307,0.02838,0.06332,-0.04745,0.04183,-0.012961,-0.009762,-0.048681,0.004909,0.009752,-0.007247,0.006902
ANKRD11,hepg2,7.5895,8.0,8.0,1.10643,0.98195,0.98195,92.60721,12.21614,7.5807,1.22859,-0.2286,3,1.2286,2.0635,47,92,-0.247,-0.2286,-0.2076,-0.1732,-0.1854,-0.1911,-0.1733,-0.1876,1.0,-0.19574,-0.16466,-0.08805,0.04373,0.02721,-0.11341,-0.0061,-0.03027,-0.026401,-0.009114,0.007262,0.005318,-0.01779,0.00277
ANKS6,hepg2,7.0479,1.0,1.0,0.98415,1.01034,0.98415,89.71722,12.38947,7.2414,1.23126,-0.2652,2,1.2652,2.0379,74,62,-0.3771,-0.2313,-0.2259,-0.2225,-0.2652,-0.2226,-0.1784,-0.1804,1.0,-0.17003,-0.16155,-0.11552,0.02362,-0.01172,-0.13768,-0.00992,-0.024918,-0.024728,-0.018693,0.004409,-0.000651,-0.021811,0.000643
ARL2,hepg2,7.9039,7.0,7.0,0.99571,1.00019,0.92528,90.92384,12.63274,7.1975,1.15525,-0.1833,1,1.1833,2.3169,111,74,-0.217,-0.1552,-0.1507,-0.1833,-0.1595,-0.1492,-0.1018,0.0199,1.0,-0.1251,-0.11108,-0.2744,0.02323,0.0204,-0.06506,-0.02149,-0.021525,-0.019101,-0.040158,0.003738,0.002509,-0.012188,-0.000765
ARMC7,hepg2,5.1908,7.0,7.0,1.03123,0.97773,0.95592,87.56068,12.14191,7.2114,1.19821,-0.1982,1,1.1982,2.6277,160,65,-0.2187,-0.1982,-0.1971,-0.1777,-0.1375,-0.0817,-0.0614,-0.1073,1.0,-0.16779,-0.14402,0.05076,0.07003,0.02098,-0.12963,-0.34223,-0.027026,-0.023516,0.010441,0.010403,0.003754,-0.021733,-0.04877
ASF1B,hepg2,7.5855,6.0,6.0,1.04709,1.00147,0.94844,92.74445,11.4135,8.1259,1.26537,-0.2874,3,1.2874,2.8747,233,44,-0.2334,-0.2654,-0.2499,-0.2357,-0.2874,-0.2434,-0.1718,-0.2078,1.0,-0.14591,-0.14144,-0.10389,0.0424,-0.0009,-0.12526,0.01124,-0.021897,-0.021582,-0.015662,0.007558,0.000935,-0.019706,0.004633
ATF5,hepg2,7.3389,8.0,8.0,1.03106,0.6792,0.6792,79.4467,13.52825,5.8727,1.10387,-0.1039,1,1.1039,6.4738,608,50,-0.0494,-0.1039,-0.0953,-0.051,0.0104,0.0499,0.1319,0.1693,1.0,-0.29785,-0.11505,-0.10176,-0.07815,0.03787,0.03994,-0.06521,-0.049185,-0.0208,-0.011957,-0.012784,0.005538,0.003975,-0.008045
ATP11B,hepg2,7.9361,8.0,8.0,1.07342,0.91105,0.91105,97.87211,13.3212,7.3471,1.26008,-0.2601,3,1.2601,4.6379,393,62,-0.2591,-0.2601,-0.249,-0.1912,-0.233,-0.1878,-0.192,0.0072,1.0,-0.23289,-0.06088,-0.5073,-0.03772,-0.02197,-0.08509,0.10024,-0.039486,-0.013178,-0.069598,-0.00503,-0.001762,-0.013596,0.015127
ATP2A2,hepg2,7.9008,8.0,8.0,1.11857,0.91421,0.91421,112.78323,12.49486,9.0264,0.9813,-0.0687,3,1.0687,2.5147,153,69,-0.1043,0.0187,0.0276,-0.013,0.0261,-0.0683,-0.0687,0.0592,1.0,-0.08656,-0.01707,-0.29614,-0.03554,0.04825,-0.09629,-0.07451,-0.018668,-0.006559,-0.040205,-0.004707,0.007594,-0.0137,-0.009433
ATP5MF,hepg2,6.1385,5.0,5.0,1.06157,0.92479,0.89674,89.97243,11.60903,7.7502,1.39949,-0.3995,3,1.3995,5.1533,484,55,-0.2768,-0.3995,-0.3792,-0.3342,-0.2396,-0.1502,-0.181,-0.2388,1.0,-0.21413,-0.18517,-0.21926,0.03034,-0.00409,-0.14068,-0.02048,-0.033744,-0.028572,-0.029186,0.006916,0.000169,-0.019888,0.000216
ATP6V0C,hepg2,7.7763,8.0,8.0,1.0929,0.79381,0.79381,97.16837,11.79437,8.2385,1.26214,-0.3212,3,1.3212,7.0207,644,55,-0.0449,-0.2621,-0.2264,-0.3212,-0.2536,-0.2345,-0.0884,-0.1417,1.0,-0.17585,-0.10301,-0.37947,-0.01046,0.0382,-0.10692,0.0215,-0.028798,-0.017785,-0.050762,0.00043,0.006113,-0.015648,0.005253
ATP6V1A,hepg2,7.8764,8.0,8.0,1.18567,0.83771,0.83771,97.89433,12.71453,7.6994,1.23896,-0.2725,3,1.2725,8.2381,728,43,-0.1938,-0.239,-0.2193,-0.2725,-0.2093,-0.1728,-0.0747,-0.1062,1.0,-0.24035,-0.15928,-0.38066,-0.01994,0.02284,-0.1243,0.02182,-0.039086,-0.02613,-0.053072,-0.002283,0.002315,-0.019604,0.006125
