perturbation,line,state,EN_mean,EN_lo,EN_hi,argmin_mean,argmin_lo,argmin_hi,rstar_mean,rstar_lo,rstar_hi,splithalf_rho_EN,splithalf_rho_argmin,occ_entropy,state_div,cell_disp,effect_size,n_de,n_cells
AAR2,jurkat,G1,6.938,6.8871,6.9673,5.333,3.7,6.0,4.867,3.7,5.0,0.9423,0.8621,1.0466,0.00877,0.22166,4.4288,415,46
AAR2,jurkat,S,6.9348,6.8943,6.9666,5.133,5.0,6.0,5.067,5.0,5.65,0.9371,0.8528,1.0466,0.00877,0.22166,4.4288,415,46
AAR2,jurkat,G2M,6.951,6.8811,6.971,5.067,5.0,5.65,5.0,5.0,5.0,0.9389,0.8501,1.0466,0.00877,0.22166,4.4288,415,46
AARS,jurkat,G1,6.0007,5.0147,6.3307,2.0,2.0,2.0,2.0,2.0,2.0,0.9423,0.8621,0.9515,0.10556,0.26033,7.9586,759,54
AARS,jurkat,S,6.1032,5.8332,6.309,2.333,2.0,5.25,2.0,2.0,2.0,0.9371,0.8528,0.9515,0.10556,0.26033,7.9586,759,54
AARS,jurkat,G2M,6.2052,5.8296,6.3734,2.0,2.0,2.0,2.0,2.0,2.0,0.9389,0.8501,0.9515,0.10556,0.26033,7.9586,759,54
AARS2,jurkat,G1,6.7815,6.6785,6.8552,6.4,6.0,7.0,6.133,6.0,7.0,0.9423,0.8621,0.9551,0.00795,0.17632,2.1672,97,101
AARS2,jurkat,S,6.7501,6.4361,6.8435,6.4,6.0,7.0,6.067,6.0,6.65,0.9371,0.8528,0.9551,0.00795,0.17632,2.1672,97,101
AARS2,jurkat,G2M,6.7878,6.6829,6.8567,6.333,6.0,7.0,6.0,6.0,6.0,0.9389,0.8501,0.9551,0.00795,0.17632,2.1672,97,101
AASDHPPT,jurkat,G1,6.9829,6.9623,6.9901,7.0,7.0,7.0,7.0,7.0,7.0,0.9423,0.8621,1.0811,0.00578,0.17822,2.0796,81,97
AASDHPPT,jurkat,S,6.98,6.9563,6.9901,7.0,7.0,7.0,7.0,7.0,7.0,0.9371,0.8528,1.0811,0.00578,0.17822,2.0796,81,97
AASDHPPT,jurkat,G2M,6.9869,6.9805,6.9907,7.0,7.0,7.0,7.0,7.0,7.0,0.9389,0.8501,1.0811,0.00578,0.17822,2.0796,81,97
ABCB7,jurkat,G1,7.0117,7.0059,7.0277,4.8,4.0,5.0,4.733,4.0,5.0,0.9423,0.8621,0.9492,0.0075,0.18465,3.8953,359,72
ABCB7,jurkat,S,7.0148,7.002,7.0674,4.867,4.0,5.0,4.867,4.0,5.0,0.9371,0.8528,0.9492,0.0075,0.18465,3.8953,359,72
ABCB7,jurkat,G2M,7.0068,6.9898,7.0312,4.8,4.0,5.65,4.667,4.0,5.0,0.9389,0.8501,0.9492,0.0075,0.18465,3.8953,359,72
ABHD11,jurkat,G1,6.9829,6.9682,6.9894,7.0,7.0,7.0,7.0,7.0,7.0,0.9423,0.8621,1.051,0.0016,0.18162,2.0247,65,97
ABHD11,jurkat,S,6.9828,6.9728,6.9874,7.0,7.0,7.0,7.0,7.0,7.0,0.9371,0.8528,1.051,0.0016,0.18162,2.0247,65,97
ABHD11,jurkat,G2M,6.9842,6.976,6.9874,7.0,7.0,7.0,7.0,7.0,7.0,0.9389,0.8501,1.051,0.0016,0.18162,2.0247,65,97
ABHD17A,jurkat,G1,6.971,6.9424,6.985,8.0,8.0,8.0,8.0,8.0,8.0,0.9423,0.8621,1.0353,0.00346,0.18091,1.7124,23,135
ABHD17A,jurkat,S,6.9625,6.9169,6.9777,8.0,8.0,8.0,8.0,8.0,8.0,0.9371,0.8528,1.0353,0.00346,0.18091,1.7124,23,135
ABHD17A,jurkat,G2M,6.9641,6.8849,6.9832,8.0,8.0,8.0,8.0,8.0,8.0,0.9389,0.8501,1.0353,0.00346,0.18091,1.7124,23,135
ABT1,jurkat,G1,7.0991,7.0607,7.1547,7.0,7.0,7.0,7.0,7.0,7.0,0.9423,0.8621,1.0979,0.01677,0.23469,4.5561,385,152
ABT1,jurkat,S,7.1284,7.0815,7.2827,7.0,7.0,7.0,7.0,7.0,7.0,0.9371,0.8528,1.0979,0.01677,0.23469,4.5561,385,152
ABT1,jurkat,G2M,7.1077,7.06,7.1579,7.0,7.0,7.0,7.0,7.0,7.0,0.9389,0.8501,1.0979,0.01677,0.23469,4.5561,385,152
AC118549.1,jurkat,G1,6.9215,6.8875,6.9614,8.0,8.0,8.0,8.0,8.0,8.0,0.9423,0.8621,1.0002,0.00054,0.20346,3.568,146,121
AC118549.1,jurkat,S,6.9182,6.8856,6.9359,8.0,8.0,8.0,8.0,8.0,8.0,0.9371,0.8528,1.0002,0.00054,0.20346,3.568,146,121
AC118549.1,jurkat,G2M,6.8984,6.7793,6.9448,8.0,8.0,8.0,8.0,8.0,8.0,0.9389,0.8501,1.0002,0.00054,0.20346,3.568,146,121
ACTB,jurkat,G1,6.9832,6.9728,6.9976,7.0,7.0,7.0,7.0,7.0,7.0,0.9423,0.8621,1.0586,0.00174,0.22258,4.9776,274,126
ACTB,jurkat,S,6.9808,6.9692,6.9895,7.0,7.0,7.0,7.0,7.0,7.0,0.9371,0.8528,1.0586,0.00174,0.22258,4.9776,274,126
ACTB,jurkat,G2M,6.9822,6.9677,7.0004,7.0,7.0,7.0,7.0,7.0,7.0,0.9389,0.8501,1.0586,0.00174,0.22258,4.9776,274,126
ACTR10,jurkat,G1,7.102,7.0303,7.1418,7.4,5.0,8.0,7.2,5.0,8.0,0.9423,0.8621,1.0009,0.00447,0.20133,2.7604,207,72
ACTR10,jurkat,S,7.1022,7.0413,7.1656,7.8,6.05,8.0,7.8,6.05,8.0,0.9371,0.8528,1.0009,0.00447,0.20133,2.7604,207,72
ACTR10,jurkat,G2M,7.1192,7.0631,7.1923,7.6,5.0,8.0,7.6,5.0,8.0,0.9389,0.8501,1.0009,0.00447,0.20133,2.7604,207,72
ACTR1B,jurkat,G1,6.9692,6.9478,6.981,8.0,8.0,8.0,8.0,8.0,8.0,0.9423,0.8621,1.0394,0.00074,0.18048,1.7618,37,122
ACTR1B,jurkat,S,6.9708,6.9541,6.9848,8.0,8.0,8.0,8.0,8.0,8.0,0.9371,0.8528,1.0394,0.00074,0.18048,1.7618,37,122
ACTR1B,jurkat,G2M,6.974,6.9597,6.9854,8.0,8.0,8.0,8.0,8.0,8.0,0.9389,0.8501,1.0394,0.00074,0.18048,1.7618,37,122
ACTR6,jurkat,G1,6.9889,6.9803,6.9913,8.0,8.0,8.0,8.0,8.0,8.0,0.9423,0.8621,0.9894,0.00099,0.19655,3.4806,327,100
ACTR6,jurkat,S,6.9883,6.9818,6.9917,8.0,8.0,8.0,8.0,8.0,8.0,0.9371,0.8528,0.9894,0.00099,0.19655,3.4806,327,100
ACTR6,jurkat,G2M,6.9895,6.9856,6.992,8.0,8.0,8.0,8.0,8.0,8.0,0.9389,0.8501,0.9894,0.00099,0.19655,3.4806,327,100
ACTR8,jurkat,G1,6.8338,6.7577,6.9062,1.0,1.0,1.0,1.0,1.0,1.0,0.9423,0.8621,1.0399,0.00033,0.1906,2.6755,131,122
ACTR8,jurkat,S,6.8276,6.7519,6.8888,1.0,1.0,1.0,1.0,1.0,1.0,0.9371,0.8528,1.0399,0.00033,0.1906,2.6755,131,122
