perturbation,line,EN_global,argmin_depth,oracle_rstar,D_1,D_final,D_min,path_length,direct_displacement,indirectness,nonlin_correction,progression_dip,nonmonotonicity,recovery,effect_size,n_de,n_cells,prog_L0,prog_L1,prog_L2,prog_L3,prog_L4,prog_L5,prog_L6,prog_L7,prog_L8,late_cell_cycle,late_dna_damage,late_translation,late_stress,late_apoptosis,late_interferon,late_mitochondrial,slope_cell_cycle,slope_dna_damage,slope_translation,slope_stress,slope_apoptosis,slope_interferon,slope_mitochondrial
AAR2,jurkat,6.9284,5.0,5.0,0.9177,0.99341,0.86749,61.1473,11.34399,5.3903,1.11267,-0.1152,2,1.1152,4.4288,415,46,-0.0592,-0.1127,-0.1151,-0.1152,-0.1113,-0.0952,-0.0875,-0.0232,1.0,0.00307,0.01115,0.03786,-0.08951,-0.05656,0.07783,-0.03003,0.003903,0.004596,0.001085,-0.015955,-0.010359,0.012373,-0.007163
AARS,jurkat,6.3063,2.0,2.0,0.66198,0.83176,0.58514,77.94014,11.17944,6.9717,0.70621,0.2938,2,0.7062,7.9586,759,54,0.2329,0.2938,0.3822,0.3606,0.367,0.367,0.3905,0.3455,1.0,-0.03234,0.02657,-0.03835,-0.01521,-0.0169,0.02327,-0.19489,-0.003256,0.00388,-0.004202,-0.004102,-0.004399,0.003454,-0.031732
AARS2,jurkat,6.8065,7.0,7.0,0.96786,0.97536,0.88814,62.60474,10.7929,5.8006,1.06572,-0.0657,4,1.0657,2.1672,97,101,-0.0011,-0.0657,-0.007,-0.012,-0.0053,0.0481,0.0233,-0.0243,1.0,0.05382,0.08413,0.00457,-0.03229,-0.01267,0.07977,-0.04051,0.011037,0.013659,-0.003977,-0.007329,-0.003522,0.012908,-0.009626
AASDHPPT,jurkat,6.9874,7.0,7.0,1.00997,1.00165,0.91395,60.18369,10.30862,5.8382,1.01275,-0.0712,4,1.0712,2.0796,81,97,-0.0136,-0.0127,-0.0125,-0.0343,-0.0427,-0.0556,-0.0712,0.0452,1.0,-0.02755,0.00821,-0.03818,-0.07602,-0.05529,0.05812,-0.05904,-0.002138,0.003404,-0.007899,-0.01367,-0.010102,0.010832,-0.011175
ABCB7,jurkat,6.9832,5.0,4.0,0.85176,0.96565,0.82858,54.01251,11.4289,4.726,1.09524,-0.1064,4,1.1064,3.8953,359,72,-0.0496,-0.0952,-0.0954,-0.103,-0.1064,-0.0811,-0.0466,0.0166,1.0,0.02509,0.02392,-0.0286,-0.08018,-0.08085,0.06588,-0.05481,0.005713,0.0056,-0.006541,-0.013069,-0.013531,0.012099,-0.01097
ABHD11,jurkat,6.9839,7.0,7.0,0.99085,0.98943,0.93276,53.47099,9.06765,5.8969,1.10558,-0.1056,2,1.1056,2.0247,65,97,0.0076,-0.1056,-0.1049,-0.0921,-0.0908,-0.0911,-0.078,0.0076,1.0,-0.03295,0.01233,-0.04803,-0.02818,-0.07562,0.00553,-0.02262,-0.002986,0.003972,-0.011344,-0.006031,-0.013044,0.002154,-0.005118
ABHD17A,jurkat,6.9485,8.0,8.0,1.06441,1.00571,1.00571,49.5813,11.80159,4.2012,1.11511,-0.1838,4,1.1838,1.7124,23,135,0.0171,-0.1151,-0.1089,-0.1064,-0.1151,-0.1428,-0.11,-0.1838,1.0,0.077,0.0509,-0.0252,-0.10457,-0.03381,0.06397,-0.0358,0.014516,0.00962,-0.007634,-0.017156,-0.007005,0.010954,-0.008164
ABT1,jurkat,7.1754,7.0,7.0,0.99219,0.86109,0.77689,76.80223,9.47962,8.1018,1.07947,-0.0857,3,1.0857,4.5561,385,152,-0.0084,-0.0795,-0.0857,-0.0676,-0.0058,-0.0134,0.0437,0.1762,1.0,-0.08557,-0.12122,-0.08799,-0.0044,0.00519,0.10065,-0.00317,-0.011714,-0.015365,-0.016978,-0.002123,-0.000661,0.016404,-0.00316
AC118549.1,jurkat,6.8501,8.0,8.0,1.0747,0.97305,0.97305,52.18697,12.65313,4.1244,1.01848,-0.0408,3,1.0408,3.568,146,121,-0.0894,-0.0185,-0.0208,-0.0177,-0.0179,-0.0166,0.0056,-0.0408,1.0,0.02682,0.04238,-0.14678,-0.0299,-0.03822,0.02138,-0.0689,0.007915,0.009214,-0.027897,-0.007302,-0.007942,0.004771,-0.012864
ACTB,jurkat,6.9854,7.0,7.0,0.97476,1.03273,0.96111,37.83208,13.70984,2.7595,1.04933,-0.0493,1,1.0493,4.9776,274,126,-0.2703,-0.0493,-0.0428,-0.0364,-0.0242,-0.0193,-0.0102,-0.0348,1.0,0.10446,0.08586,-0.07111,-0.0575,-0.04802,0.04589,-0.04125,0.01989,0.015736,-0.015742,-0.010957,-0.009079,0.009217,-0.008196
