perturbation,line,state,EN_mean,EN_lo,EN_hi,argmin_mean,argmin_lo,argmin_hi,rstar_mean,rstar_lo,rstar_hi,splithalf_rho_EN,splithalf_rho_argmin,occ_entropy,state_div,cell_disp,effect_size,n_de,n_cells
AAAS,k562,G1,6.2743,5.7179,6.6382,5.8,1.0,7.0,5.8,1.0,7.0,0.9692,0.8496,0.9197,0.00153,0.13513,1.1673,0,202
AAAS,k562,S,6.2185,5.4788,6.6942,6.2,1.0,7.0,6.2,1.0,7.0,0.9481,0.831,0.9197,0.00153,0.13513,1.1673,0,202
AAAS,k562,G2M,6.4072,6.1423,6.6732,5.8,1.0,7.0,5.8,1.0,7.0,0.9554,0.8305,0.9197,0.00153,0.13513,1.1673,0,202
AAMP,k562,G1,5.3588,5.0759,5.8304,2.0,2.0,2.0,2.0,2.0,2.0,0.9692,0.8496,1.0312,0.0167,0.12628,3.073,209,76
AAMP,k562,S,5.3236,4.8897,5.8465,2.0,2.0,2.0,2.0,2.0,2.0,0.9481,0.831,1.0312,0.0167,0.12628,3.073,209,76
AAMP,k562,G2M,5.5025,5.1071,5.8037,2.0,2.0,2.0,2.0,2.0,2.0,0.9554,0.8305,1.0312,0.0167,0.12628,3.073,209,76
AARS2,k562,G1,5.6767,4.808,6.1635,1.267,1.0,3.6,1.267,1.0,3.6,0.9692,0.8496,0.9015,0.00125,0.13338,1.4158,21,179
AARS2,k562,S,5.8458,5.0113,6.2933,1.0,1.0,1.0,1.0,1.0,1.0,0.9481,0.831,0.9015,0.00125,0.13338,1.4158,21,179
AARS2,k562,G2M,5.6697,4.9979,6.0874,1.0,1.0,1.0,1.0,1.0,1.0,0.9554,0.8305,0.9015,0.00125,0.13338,1.4158,21,179
AATF,k562,G1,6.1465,5.8065,6.5026,5.867,5.0,6.0,5.467,4.35,6.0,0.9692,0.8496,1.0029,0.01131,0.15483,3.8304,267,254
AATF,k562,S,6.1407,6.0081,6.2071,6.8,6.0,8.0,6.467,5.0,8.0,0.9481,0.831,1.0029,0.01131,0.15483,3.8304,267,254
AATF,k562,G2M,6.2575,6.0719,6.6155,6.2,5.35,8.0,5.667,4.0,7.3,0.9554,0.8305,1.0029,0.01131,0.15483,3.8304,267,254
ABCB7,k562,G1,5.1692,4.8018,5.418,3.867,2.0,7.0,3.4,2.0,7.0,0.9692,0.8496,0.9754,0.00656,0.13304,1.8602,59,192
ABCB7,k562,S,5.3478,4.737,5.5601,5.6,2.35,7.0,3.733,2.0,7.0,0.9481,0.831,0.9754,0.00656,0.13304,1.8602,59,192
ABCB7,k562,G2M,5.2539,4.7452,5.6046,3.4,2.0,7.0,2.333,2.0,5.25,0.9554,0.8305,0.9754,0.00656,0.13304,1.8602,59,192
ABCE1,k562,G1,4.1123,3.8385,4.672,2.867,1.0,4.0,2.867,1.0,4.0,0.9692,0.8496,1.0886,0.06906,0.1721,5.0325,476,207
ABCE1,k562,S,4.2111,3.7251,4.7268,3.6,2.0,4.0,3.6,2.0,4.0,0.9481,0.831,1.0886,0.06906,0.1721,5.0325,476,207
ABCE1,k562,G2M,4.2107,3.8293,4.5775,3.6,1.0,4.0,3.6,1.0,4.0,0.9554,0.8305,1.0886,0.06906,0.1721,5.0325,476,207
ABHD11,k562,G1,6.6607,6.2511,6.787,8.0,8.0,8.0,8.0,8.0,8.0,0.9692,0.8496,0.8668,7e-05,0.13024,2.4426,132,49
ABHD11,k562,S,6.6181,6.1629,6.8106,8.0,8.0,8.0,8.0,8.0,8.0,0.9481,0.831,0.8668,7e-05,0.13024,2.4426,132,49
ABHD11,k562,G2M,6.7142,6.5673,6.8105,8.0,8.0,8.0,8.0,8.0,8.0,0.9554,0.8305,0.8668,7e-05,0.13024,2.4426,132,49
ABHD17A,k562,G1,6.4954,6.3675,6.6481,3.0,3.0,3.0,3.0,3.0,3.0,0.9692,0.8496,0.7976,0.00463,0.13038,2.1946,99,63
ABHD17A,k562,S,6.4926,6.1481,6.7119,5.667,3.0,8.0,5.667,3.0,8.0,0.9481,0.831,0.7976,0.00463,0.13038,2.1946,99,63
ABHD17A,k562,G2M,6.4339,5.8434,6.676,4.667,3.0,8.0,4.333,3.0,8.0,0.9554,0.8305,0.7976,0.00463,0.13038,2.1946,99,63
