perturbation,line,EN_global,argmin_depth,oracle_rstar,D_1,D_final,D_min,path_length,direct_displacement,indirectness,nonlin_correction,progression_dip,nonmonotonicity,recovery,effect_size,n_de,n_cells,prog_L0,prog_L1,prog_L2,prog_L3,prog_L4,prog_L5,prog_L6,prog_L7,prog_L8,late_cell_cycle,late_dna_damage,late_translation,late_stress,late_apoptosis,late_interferon,late_mitochondrial,slope_cell_cycle,slope_dna_damage,slope_translation,slope_stress,slope_apoptosis,slope_interferon,slope_mitochondrial
AAAS,k562,6.1262,1.0,1.0,0.96605,0.99941,0.96605,73.94924,12.75646,5.797,1.13311,-0.168,2,1.168,1.1673,0,202,-0.1497,-0.1331,-0.1671,-0.1649,-0.168,-0.1644,-0.1635,-0.1084,1.0,0.07623,-0.01328,0.36334,0.11223,-0.00733,-0.05162,-0.03303,0.010927,-0.003399,0.054102,0.015075,-0.00314,-0.012911,-0.00283
AAMP,k562,5.4009,2.0,2.0,0.89868,0.87965,0.79228,70.52168,12.58004,5.6058,0.91284,0.053,4,0.947,3.073,209,76,0.0027,0.0872,0.2029,0.1816,0.1702,0.1435,0.1515,0.053,1.0,-0.02818,-0.09106,0.18061,-0.04011,-0.05679,-0.10974,0.01519,-0.002795,-0.013617,0.024036,-0.008667,-0.009567,-0.021264,0.001856
AARS2,k562,5.2557,1.0,1.0,0.91451,0.98518,0.91451,81.10718,11.88518,6.8242,1.06181,-0.0618,2,1.0618,1.4158,21,179,-0.0613,-0.0618,0.0025,0.0069,0.0275,0.0757,0.0777,-0.0179,1.0,0.06573,0.01018,0.36847,0.06275,0.04602,-0.06325,-0.07755,0.009788,0.000518,0.054283,0.008672,0.005401,-0.013832,-0.010488
AATF,k562,6.2463,5.0,5.0,0.83917,0.84645,0.80122,73.27139,12.49011,5.8664,0.83967,0.1269,5,0.8731,3.8304,267,254,0.0607,0.1603,0.1581,0.1551,0.1566,0.1542,0.1478,0.1269,1.0,0.02959,0.00093,0.1231,-0.02709,-0.03888,-0.11102,0.02212,0.006221,0.000893,0.01405,-0.006369,-0.007122,-0.019362,0.002978
ABCB7,k562,5.4011,2.0,2.0,0.88239,0.98064,0.79161,75.0743,12.2997,6.1038,1.03037,-0.0304,6,1.0304,1.8602,59,192,-0.0218,-0.0304,0.0635,0.0471,0.0452,0.0399,0.027,-0.0138,1.0,0.04032,-0.04964,0.06921,0.00168,0.04185,-0.01915,0.05995,0.005668,-0.00884,0.008895,5e-05,0.004398,-0.007279,0.009803
ABCE1,k562,4.1774,4.0,4.0,0.68757,0.81186,0.67404,90.77118,12.99225,6.9866,0.68442,0.2188,4,0.7812,5.0325,476,207,0.2643,0.3156,0.3018,0.303,0.3142,0.2631,0.2566,0.2188,1.0,0.0069,-0.08666,0.06774,0.02249,-0.05648,0.00252,0.01634,0.000911,-0.012085,0.006773,0.001933,-0.008181,-0.004196,0.004443
ABHD11,k562,6.7803,8.0,8.0,1.0155,0.9951,0.9951,77.20724,10.90952,7.0771,1.03003,-0.0441,2,1.0441,2.4426,132,49,-0.0613,-0.03,-0.041,-0.0385,-0.0441,-0.0072,0.0026,0.1513,1.0,-0.0375,-0.09136,0.37316,0.03892,-0.03051,-0.06753,-0.1655,-0.005911,-0.014353,0.055336,0.005283,-0.006246,-0.01468,-0.023656
ABHD17A,k562,6.452,3.0,3.0,1.01578,1.02939,1.01029,73.06229,11.55472,6.3232,1.00556,-0.0187,3,1.0187,2.1946,99,63,-0.1036,-0.0056,-0.0083,-0.0187,-0.0177,0.0022,0.017,-0.0177,1.0,0.12814,0.02997,0.31516,0.01613,0.01754,-0.04408,-0.08167,0.018804,0.003047,0.047776,0.000143,0.000868,-0.010995,-0.012044
ABT1,k562,6.1446,4.0,4.0,0.93644,0.86751,0.86577,77.4164,12.98337,5.9627,1.04483,-0.0448,1,1.0448,2.9134,172,92,-0.0527,-0.0448,0.0275,0.0603,0.0759,0.0803,0.0888,-0.0198,1.0,-0.04118,-0.08174,0.13948,0.00833,-0.01268,-0.11932,-0.00863,-0.003673,-0.012113,0.017357,5.9e-05,-0.003031,-0.021517,-0.001056
ACD,k562,6.8558,3.0,3.0,0.96717,0.99597,0.93044,78.95396,12.76509,6.1851,1.10209,-0.1215,3,1.1215,1.8643,54,74,-0.2072,-0.1021,-0.1215,-0.115,-0.1172,-0.1192,-0.1155,-0.0931,1.0,0.01456,-0.05566,0.23787,0.02028,-0.0027,-0.06104,-0.05414,0.00315,-0.008639,0.033809,0.002827,-0.001169,-0.013385,-0.00693
ACTR1B,k562,6.7142,6.0,6.0,1.06404,1.00263,0.93745,78.48253,11.44338,6.8583,1.09225,-0.1816,4,1.1816,1.1727,3,200,-0.2021,-0.0923,-0.1252,-0.1451,-0.1652,-0.1816,-0.178,0.0289,1.0,0.16116,0.10212,0.4157,0.11056,0.07978,-0.02638,-0.07785,0.024392,0.013471,0.06207,0.015161,0.01036,-0.008562,-0.011445
ACTR2,k562,6.5086,8.0,8.0,1.00857,0.99486,0.99486,79.41928,12.07438,6.5775,1.0795,-0.0795,5,1.0795,1.2162,5,221,0.0079,-0.0795,-0.0489,-0.0494,-0.0567,-0.0298,-0.0335,-0.0552,1.0,-0.01068,-0.14618,0.35719,0.02224,-0.00686,-0.03109,-0.11713,-0.001534,-0.020956,0.052235,0.00318,-0.00216,-0.009479,-0.014934
ACTR6,k562,7.3725,8.0,8.0,1.08699,0.98268,0.98268,77.2105,11.68281,6.6089,1.15342,-0.1534,1,1.1534,2.3794,123,104,-0.042,-0.1534,-0.1416,-0.1278,-0.1211,-0.1142,-0.108,-0.092,1.0,0.05182,-0.01962,0.03523,0.04045,0.0082,-0.05999,-0.05933,0.009209,-0.003252,0.004531,0.004277,-0.000483,-0.0128,-0.008595
ACTR8,k562,5.902,6.0,6.0,0.83112,0.98988,0.82132,69.75549,12.88713,5.4128,1.02034,-0.0686,2,1.0686,2.2724,117,242,-0.1743,-0.0203,-0.0021,0.0021,0.002,-0.0018,-0.0002,-0.0686,1.0,0.00348,-0.07638,0.02207,0.0021,-0.0168,-0.08929,-0.05899,0.002215,-0.011513,0.001983,-0.000431,-0.003306,-0.018352,-0.008301
ADAT2,k562,6.9469,7.0,7.0,1.03483,1.00076,0.97167,75.4851,12.01205,6.2841,1.11424,-0.1142,3,1.1142,1.8404,45,84,-0.2902,-0.1142,-0.0766,-0.0708,-0.0776,-0.0901,-0.0812,-0.0853,1.0,0.04218,-0.05417,0.34111,0.02479,-0.00574,-0.07561,-0.12159,0.006127,-0.009035,0.051097,0.002762,-0.001971,-0.015907,-0.017252
ADSL,k562,6.5591,8.0,8.0,1.08136,0.98937,0.98937,81.08981,12.15296,6.6724,1.1717,-0.2064,3,1.2064,1.9623,64,100,-0.2349,-0.1717,-0.1892,-0.2047,-0.2064,-0.1971,-0.1788,-0.0514,1.0,-0.02949,-0.04982,0.37109,0.08345,-0.01255,-0.06918,-0.13742,-0.004591,-0.008369,0.055502,0.011463,-0.003506,-0.014459,-0.019915
