perturbation,line,state,EN_mean,EN_lo,EN_hi,argmin_mean,argmin_lo,argmin_hi,rstar_mean,rstar_lo,rstar_hi,splithalf_rho_EN,splithalf_rho_argmin,occ_entropy,state_div,cell_disp,effect_size,n_de,n_cells
AAAS,rpe1,G1,7.9851,7.9843,7.9862,8.0,8.0,8.0,8.0,8.0,8.0,0.9811,0.8599,1.0555,0.00678,0.1445,2.0224,70,85
AAAS,rpe1,S,7.9847,7.983,7.9864,8.0,8.0,8.0,8.0,8.0,8.0,0.9831,0.8575,1.0555,0.00678,0.1445,2.0224,70,85
AAAS,rpe1,G2M,7.9848,7.9836,7.9861,8.0,8.0,8.0,8.0,8.0,8.0,0.9843,0.8739,1.0555,0.00678,0.1445,2.0224,70,85
AASDHPPT,rpe1,G1,7.9812,7.979,7.9828,8.0,8.0,8.0,8.0,8.0,8.0,0.9811,0.8599,0.9982,0.0471,0.15372,3.4641,283,61
AASDHPPT,rpe1,S,7.9807,7.9779,7.9815,8.0,8.0,8.0,8.0,8.0,8.0,0.9831,0.8575,0.9982,0.0471,0.15372,3.4641,283,61
AASDHPPT,rpe1,G2M,7.9813,7.9799,7.9831,8.0,8.0,8.0,8.0,8.0,8.0,0.9843,0.8739,0.9982,0.0471,0.15372,3.4641,283,61
ABCE1,rpe1,G1,7.9267,7.9019,7.9468,8.0,8.0,8.0,8.0,8.0,8.0,0.9811,0.8599,0.5667,0.18902,0.17078,10.0573,913,50
ABCE1,rpe1,S,7.9287,7.9009,7.944,8.0,8.0,8.0,8.0,8.0,8.0,0.9831,0.8575,0.5667,0.18902,0.17078,10.0573,913,50
ABCE1,rpe1,G2M,7.9346,7.9186,7.958,8.0,8.0,8.0,8.0,8.0,8.0,0.9843,0.8739,0.5667,0.18902,0.17078,10.0573,913,50
ABHD11,rpe1,G1,7.9864,7.9859,7.9874,8.0,8.0,8.0,8.0,8.0,8.0,0.9811,0.8599,1.0386,0.02384,0.16614,3.3034,277,56
ABHD11,rpe1,S,7.986,7.9848,7.9865,8.0,8.0,8.0,8.0,8.0,8.0,0.9831,0.8575,1.0386,0.02384,0.16614,3.3034,277,56
ABHD11,rpe1,G2M,7.9859,7.9839,7.9868,8.0,8.0,8.0,8.0,8.0,8.0,0.9843,0.8739,1.0386,0.02384,0.16614,3.3034,277,56
ACD,rpe1,G1,7.9813,7.9793,7.9825,8.0,8.0,8.0,8.0,8.0,8.0,0.9811,0.8599,0.8324,0.1099,0.13455,5.7496,507,45
ACD,rpe1,S,7.9815,7.9801,7.9827,8.0,8.0,8.0,8.0,8.0,8.0,0.9831,0.8575,0.8324,0.1099,0.13455,5.7496,507,45
ACD,rpe1,G2M,7.9807,7.9761,7.9832,8.0,8.0,8.0,8.0,8.0,8.0,0.9843,0.8739,0.8324,0.1099,0.13455,5.7496,507,45
ACTB,rpe1,G1,7.0471,6.8084,7.2419,2.467,2.0,3.0,2.467,2.0,3.0,0.9811,0.8599,0.898,0.03009,0.14658,3.9751,229,229
ACTB,rpe1,S,6.9732,6.7309,7.2075,2.2,1.35,3.0,2.2,1.35,3.0,0.9831,0.8575,0.898,0.03009,0.14658,3.9751,229,229
ACTB,rpe1,G2M,7.0083,6.6917,7.2285,2.067,1.0,3.0,2.067,1.0,3.0,0.9843,0.8739,0.898,0.03009,0.14658,3.9751,229,229
ACTR1B,rpe1,G1,7.9864,7.9851,7.9877,4.467,3.0,7.0,4.2,3.0,6.3,0.9811,0.8599,1.0284,0.00302,0.15203,2.0069,42,171
ACTR1B,rpe1,S,7.9866,7.9854,7.9877,4.6,3.0,7.0,4.333,3.0,7.0,0.9831,0.8575,1.0284,0.00302,0.15203,2.0069,42,171
ACTR1B,rpe1,G2M,7.9865,7.9858,7.9871,4.067,3.0,5.0,4.067,3.0,5.0,0.9843,0.8739,1.0284,0.00302,0.15203,2.0069,42,171
ACTR2,rpe1,G1,7.9875,7.9863,7.989,8.0,8.0,8.0,8.0,8.0,8.0,0.9811,0.8599,0.7893,0.12355,0.1712,6.8389,591,67
ACTR2,rpe1,S,7.9869,7.9849,7.9882,8.0,8.0,8.0,8.0,8.0,8.0,0.9831,0.8575,0.7893,0.12355,0.1712,6.8389,591,67
ACTR2,rpe1,G2M,7.987,7.982,7.9889,8.0,8.0,8.0,8.0,8.0,8.0,0.9843,0.8739,0.7893,0.12355,0.1712,6.8389,591,67
ACTR6,rpe1,G1,7.9878,7.9872,7.9883,8.0,8.0,8.0,8.0,8.0,8.0,0.9811,0.8599,1.0507,0.01979,0.1616,3.5502,318,103
ACTR6,rpe1,S,7.9877,7.987,7.9883,8.0,8.0,8.0,8.0,8.0,8.0,0.9831,0.8575,1.0507,0.01979,0.1616,3.5502,318,103
ACTR6,rpe1,G2M,7.9875,7.9868,7.9884,8.0,8.0,8.0,8.0,8.0,8.0,0.9843,0.8739,1.0507,0.01979,0.1616,3.5502,318,103
ACTR8,rpe1,G1,7.9821,7.9808,7.9833,8.0,8.0,8.0,8.0,8.0,8.0,0.9811,0.8599,1.0287,0.03807,0.16275,3.7741,344,86
ACTR8,rpe1,S,7.9824,7.9813,7.9835,8.0,8.0,8.0,8.0,8.0,8.0,0.9831,0.8575,1.0287,0.03807,0.16275,3.7741,344,86
ACTR8,rpe1,G2M,7.9821,7.9815,7.9829,8.0,8.0,8.0,8.0,8.0,8.0,0.9843,0.8739,1.0287,0.03807,0.16275,3.7741,344,86
ADAM10,rpe1,G1,7.9805,7.9773,7.983,8.0,8.0,8.0,8.0,8.0,8.0,0.9811,0.8599,1.0928,0.00713,0.15686,2.4279,127,358
ADAM10,rpe1,S,7.9803,7.9782,7.983,8.0,8.0,8.0,8.0,8.0,8.0,0.9831,0.8575,1.0928,0.00713,0.15686,2.4279,127,358
ADAM10,rpe1,G2M,7.9823,7.9793,7.984,8.0,8.0,8.0,8.0,8.0,8.0,0.9843,0.8739,1.0928,0.00713,0.15686,2.4279,127,358
ADRM1,rpe1,G1,7.9862,7.9854,7.9871,8.0,8.0,8.0,8.0,8.0,8.0,0.9811,0.8599,1.0984,0.00781,0.14067,2.9251,201,77
ADRM1,rpe1,S,7.9861,7.9856,7.9868,8.0,8.0,8.0,8.0,8.0,8.0,0.9831,0.8575,1.0984,0.00781,0.14067,2.9251,201,77
ADRM1,rpe1,G2M,7.9863,7.9856,7.9872,8.0,8.0,8.0,8.0,8.0,8.0,0.9843,0.8739,1.0984,0.00781,0.14067,2.9251,201,77
ADSL,rpe1,G1,7.9821,7.9806,7.9842,7.4,7.0,8.0,7.267,7.0,8.0,0.9811,0.8599,1.0502,0.00225,0.15521,1.7042,34,112
ADSL,rpe1,S,7.9824,7.9811,7.9841,7.067,7.0,7.65,7.0,7.0,7.0,0.9831,0.8575,1.0502,0.00225,0.15521,1.7042,34,112
ADSL,rpe1,G2M,7.9824,7.9805,7.9848,7.4,7.0,8.0,7.333,7.0,8.0,0.9843,0.8739,1.0502,0.00225,0.15521,1.7042,34,112
AFG3L2,rpe1,G1,7.9743,7.9656,7.9816,8.0,8.0,8.0,8.0,8.0,8.0,0.9811,0.8599,1.0967,0.00671,0.14886,3.3632,249,82
AFG3L2,rpe1,S,7.9723,7.9662,7.9776,8.0,8.0,8.0,8.0,8.0,8.0,0.9831,0.8575,1.0967,0.00671,0.14886,3.3632,249,82
AFG3L2,rpe1,G2M,7.9721,7.9668,7.9774,8.0,8.0,8.0,8.0,8.0,8.0,0.9843,0.8739,1.0967,0.00671,0.14886,3.3632,249,82
AGBL5,rpe1,G1,7.8725,7.8457,7.8954,8.0,8.0,8.0,8.0,8.0,8.0,0.9811,0.8599,0.5095,0.21277,0.15113,9.0783,774,41
AGBL5,rpe1,S,7.8685,7.8151,7.9024,8.0,8.0,8.0,8.0,8.0,8.0,0.9831,0.8575,0.5095,0.21277,0.15113,9.0783,774,41
AGBL5,rpe1,G2M,7.888,7.8607,7.9148,8.0,8.0,8.0,8.0,8.0,8.0,0.9843,0.8739,0.5095,0.21277,0.15113,9.0783,774,41
AHCTF1,rpe1,G1,7.4547,7.224,7.6266,7.8,6.05,8.0,7.8,6.05,8.0,0.9811,0.8599,0.8924,0.08148,0.15912,5.1965,492,71
AHCTF1,rpe1,S,7.4849,7.3645,7.616,7.8,6.05,8.0,7.8,6.05,8.0,0.9831,0.8575,0.8924,0.08148,0.15912,5.1965,492,71
AHCTF1,rpe1,G2M,7.5104,7.3955,7.6488,7.2,5.0,8.0,7.2,5.0,8.0,0.9843,0.8739,0.8924,0.08148,0.15912,5.1965,492,71
AIFM1,rpe1,G1,7.9803,7.9727,7.9839,3.267,1.0,8.0,3.267,1.0,8.0,0.9811,0.8599,1.0197,0.00708,0.15433,2.0888,84,114
AIFM1,rpe1,S,7.9815,7.978,7.9835,3.467,1.0,8.0,3.467,1.0,8.0,0.9831,0.8575,1.0197,0.00708,0.15433,2.0888,84,114
AIFM1,rpe1,G2M,7.9816,7.9723,7.9844,3.867,1.0,8.0,3.867,1.0,8.0,0.9843,0.8739,1.0197,0.00708,0.15433,2.0888,84,114
ALG1,rpe1,G1,7.9867,7.9855,7.9884,8.0,8.0,8.0,8.0,8.0,8.0,0.9811,0.8599,1.0737,0.01721,0.15804,3.963,280,81
ALG1,rpe1,S,7.9861,7.9846,7.9881,8.0,8.0,8.0,8.0,8.0,8.0,0.9831,0.8575,1.0737,0.01721,0.15804,3.963,280,81
ALG1,rpe1,G2M,7.9864,7.984,7.9886,8.0,8.0,8.0,8.0,8.0,8.0,0.9843,0.8739,1.0737,0.01721,0.15804,3.963,280,81
ALG13,rpe1,G1,7.9695,7.9502,7.9795,8.0,8.0,8.0,8.0,8.0,8.0,0.9811,0.8599,1.0487,0.03766,0.16463,5.4666,525,43
ALG13,rpe1,S,7.9728,7.9589,7.9804,8.0,8.0,8.0,8.0,8.0,8.0,0.9831,0.8575,1.0487,0.03766,0.16463,5.4666,525,43
ALG13,rpe1,G2M,7.9719,7.9532,7.9799,7.6,4.1,8.0,7.6,4.1,8.0,0.9843,0.8739,1.0487,0.03766,0.16463,5.4666,525,43
ALG14,rpe1,G1,7.9829,7.9808,7.9849,8.0,8.0,8.0,8.0,8.0,8.0,0.9811,0.8599,1.0848,0.01625,0.17267,4.6967,369,111
ALG14,rpe1,S,7.9828,7.9813,7.9848,8.0,8.0,8.0,8.0,8.0,8.0,0.9831,0.8575,1.0848,0.01625,0.17267,4.6967,369,111
ALG14,rpe1,G2M,7.9824,7.9813,7.9833,8.0,8.0,8.0,8.0,8.0,8.0,0.9843,0.8739,1.0848,0.01625,0.17267,4.6967,369,111
ALG2,rpe1,G1,7.9821,7.9798,7.9839,8.0,8.0,8.0,8.0,8.0,8.0,0.9811,0.8599,1.0215,0.04142,0.1619,6.3905,543,76
ALG2,rpe1,S,7.9808,7.9751,7.9833,8.0,8.0,8.0,8.0,8.0,8.0,0.9831,0.8575,1.0215,0.04142,0.1619,6.3905,543,76
ALG2,rpe1,G2M,7.982,7.9792,7.9852,8.0,8.0,8.0,8.0,8.0,8.0,0.9843,0.8739,1.0215,0.04142,0.1619,6.3905,543,76
ANAPC1,rpe1,G1,7.9661,7.9496,7.9753,8.0,8.0,8.0,8.0,8.0,8.0,0.9811,0.8599,0.8249,0.1037,0.14348,5.6088,487,71
ANAPC1,rpe1,S,7.9664,7.9431,7.979,8.0,8.0,8.0,8.0,8.0,8.0,0.9831,0.8575,0.8249,0.1037,0.14348,5.6088,487,71
ANAPC1,rpe1,G2M,7.968,7.9549,7.9809,8.0,8.0,8.0,8.0,8.0,8.0,0.9843,0.8739,0.8249,0.1037,0.14348,5.6088,487,71
ANAPC11,rpe1,G1,7.9807,7.9755,7.984,8.0,8.0,8.0,8.0,8.0,8.0,0.9811,0.8599,0.8547,0.09413,0.16228,5.4683,499,71
ANAPC11,rpe1,S,7.981,7.9783,7.9829,8.0,8.0,8.0,8.0,8.0,8.0,0.9831,0.8575,0.8547,0.09413,0.16228,5.4683,499,71
ANAPC11,rpe1,G2M,7.9816,7.9783,7.9849,8.0,8.0,8.0,8.0,8.0,8.0,0.9843,0.8739,0.8547,0.09413,0.16228,5.4683,499,71
ANAPC13,rpe1,G1,7.9845,7.9834,7.9856,8.0,8.0,8.0,8.0,8.0,8.0,0.9811,0.8599,1.0809,0.01787,0.15298,2.6674,163,111
ANAPC13,rpe1,S,7.9843,7.9827,7.9856,8.0,8.0,8.0,8.0,8.0,8.0,0.9831,0.8575,1.0809,0.01787,0.15298,2.6674,163,111
ANAPC13,rpe1,G2M,7.9841,7.9827,7.9852,8.0,8.0,8.0,8.0,8.0,8.0,0.9843,0.8739,1.0809,0.01787,0.15298,2.6674,163,111
ANAPC5,rpe1,G1,7.6663,7.5419,7.748,7.867,7.0,8.0,7.667,5.7,8.0,0.9811,0.8599,0.7375,0.13255,0.13966,5.9942,578,40
