perturbation,line,EN_global,argmin_depth,oracle_rstar,D_1,D_final,D_min,path_length,direct_displacement,indirectness,nonlin_correction,progression_dip,nonmonotonicity,recovery,effect_size,n_de,n_cells,prog_L0,prog_L1,prog_L2,prog_L3,prog_L4,prog_L5,prog_L6,prog_L7,prog_L8,late_cell_cycle,late_dna_damage,late_translation,late_stress,late_apoptosis,late_interferon,late_mitochondrial,slope_cell_cycle,slope_dna_damage,slope_translation,slope_stress,slope_apoptosis,slope_interferon,slope_mitochondrial
AAAS,rpe1,7.9844,8.0,8.0,1.04166,0.97157,0.97157,59.91205,11.24509,5.3278,1.17847,-0.251,5,1.251,2.0224,70,85,-0.0745,-0.1785,-0.1431,-0.1495,-0.1415,-0.1698,-0.1933,-0.251,1.0,0.04394,-0.00727,-0.10351,-0.01236,0.02649,-0.01531,-0.12103,0.004272,-0.002639,-0.014328,-0.00065,0.003914,-0.000436,-0.019034
AASDHPPT,rpe1,7.979,8.0,8.0,1.09007,0.93753,0.93753,54.06984,14.28113,3.7861,1.14905,-0.2383,6,1.2383,3.4641,283,61,-0.2041,-0.1491,-0.1543,-0.1747,-0.1792,-0.205,-0.2138,-0.2383,1.0,0.00244,-0.02571,-0.05878,0.00969,-0.01858,0.00233,-0.1019,-0.001935,-0.005591,-0.006558,0.002426,-0.001509,0.001961,-0.015786
ABCE1,rpe1,7.9373,8.0,8.0,0.82806,0.61166,0.61166,73.14997,16.35318,4.4731,0.83642,0.0844,4,0.9156,10.0573,913,50,0.0334,0.1636,0.1816,0.1998,0.1816,0.1643,0.1306,0.0844,1.0,0.00697,0.02647,-0.1934,-0.09194,0.10542,0.00899,-0.07428,-0.005505,-0.000612,-0.031407,-0.013849,0.017859,0.002784,-0.013343
ABHD11,rpe1,7.9863,8.0,8.0,1.13496,0.8685,0.8685,57.73631,14.55067,3.9679,1.1899,-0.2219,5,1.2219,3.3034,277,56,-0.1703,-0.1899,-0.1767,-0.1832,-0.1713,-0.1751,-0.1775,-0.2219,1.0,-0.04982,-0.04982,-0.07001,0.01101,0.01085,-0.03445,-0.11426,-0.011678,-0.009522,-0.007361,0.002206,0.001845,-0.003232,-0.018633
ACD,rpe1,7.9826,8.0,8.0,1.16368,0.96443,0.96443,54.93347,14.2722,3.849,1.22978,-0.2298,4,1.2298,5.7496,507,45,-0.2161,-0.2298,-0.1951,-0.193,-0.1867,-0.2118,-0.2187,-0.2219,1.0,0.10048,0.00911,-0.10657,0.01657,0.07669,-0.01344,-0.10889,0.013215,-0.000393,-0.016359,0.003388,0.012115,-0.00021,-0.017402
ACTB,rpe1,7.0323,2.0,2.0,1.03258,1.10216,1.03238,70.31685,16.76356,4.1946,1.10898,-0.109,2,1.109,3.9751,229,229,-0.1563,-0.109,-0.0177,0.0336,0.3131,0.3046,0.3062,0.3001,1.0,-0.36463,-0.19182,-0.08661,-0.01802,-0.06595,-0.12076,-0.16416,-0.057884,-0.030782,-0.010435,-0.002309,-0.008707,-0.014973,-0.02595
ACTR1B,rpe1,7.9865,5.0,5.0,0.88049,1.00644,0.87074,60.35434,13.26465,4.55,1.07055,-0.1139,5,1.1139,2.0069,42,171,-0.0637,-0.0706,-0.0537,-0.0722,-0.084,-0.0776,-0.0795,-0.1139,1.0,0.03331,-0.00739,-0.06901,0.02668,0.04613,-0.04413,-0.07165,0.004341,-0.002069,-0.010794,0.004534,0.007401,-0.004317,-0.011565
ACTR2,rpe1,7.9835,8.0,8.0,1.11112,0.87134,0.87134,63.34541,13.96427,4.5362,1.17167,-0.327,6,1.327,6.8389,591,67,-0.1001,-0.1717,-0.1673,-0.1984,-0.2202,-0.2513,-0.2752,-0.327,1.0,0.07762,-0.02719,-0.08732,1e-05,0.10365,0.01432,-0.08914,0.00752,-0.005777,-0.009378,0.001716,0.015148,0.00242,-0.014237
ACTR6,rpe1,7.9884,8.0,8.0,1.18921,0.97429,0.97429,60.34502,13.8729,4.3498,1.2002,-0.2574,5,1.2574,3.5502,318,103,-0.2281,-0.2002,-0.2121,-0.22,-0.2182,-0.2251,-0.2272,-0.2574,1.0,0.01085,-0.04778,0.01718,0.02966,0.02793,-0.07438,-0.11146,-9.6e-05,-0.008826,0.004971,0.004941,0.004954,-0.00889,-0.018238
ACTR8,rpe1,7.9835,8.0,8.0,1.09815,0.93018,0.93018,64.41008,13.85395,4.6492,1.20861,-0.241,5,1.241,3.7741,344,86,-0.1619,-0.2086,-0.2114,-0.22,-0.2169,-0.2297,-0.241,-0.2334,1.0,0.06298,-0.01129,-0.10162,-0.00895,0.00851,0.01835,-0.10931,0.004778,-0.004447,-0.012321,-2.1e-05,0.00111,0.002948,-0.017599
ADAM10,rpe1,7.981,8.0,8.0,1.13857,0.94363,0.94363,58.50869,14.53429,4.0256,1.18343,-0.2336,6,1.2336,2.4279,127,358,-0.1539,-0.1834,-0.1652,-0.1872,-0.192,-0.2142,-0.2214,-0.2336,1.0,-0.00406,-0.02707,-0.06094,-0.00154,0.00533,-0.04849,-0.12035,-0.004011,-0.006084,-0.005154,0.001642,0.001746,-0.005448,-0.018598
ADRM1,rpe1,7.9862,8.0,8.0,1.17164,0.97025,0.97025,54.86432,13.82637,3.9681,1.14456,-0.1842,5,1.1842,2.9251,201,77,-0.2368,-0.1446,-0.1564,-0.1585,-0.1548,-0.163,-0.1665,-0.1842,1.0,0.00712,-0.02463,-0.07284,-0.01334,0.00028,-0.03503,-0.0704,-0.000914,-0.00516,-0.008985,-0.001577,-0.000291,-0.004321,-0.012485
ADSL,rpe1,7.9825,7.0,7.0,1.07128,0.99803,0.99487,58.35116,12.1147,4.8166,1.22699,-0.3118,6,1.3118,1.7042,34,112,-0.1378,-0.227,-0.2368,-0.2468,-0.2456,-0.2702,-0.2872,-0.3118,1.0,0.10672,0.00952,-0.06136,-0.0102,0.075,-0.02529,-0.10527,0.015321,0.00037,-0.007385,-0.000263,0.012033,-0.001771,-0.016185
AFG3L2,rpe1,7.9679,8.0,8.0,0.98434,0.86117,0.86117,67.15747,15.28908,4.3925,1.05342,-0.094,3,1.094,3.3632,249,82,-0.0907,-0.0534,-0.0609,-0.0421,-0.0299,-0.0224,-0.036,-0.094,1.0,-0.01071,0.02009,0.10198,0.04166,0.05861,0.04728,-0.01675,-0.003989,0.000731,0.017987,0.007747,0.009745,0.009699,-0.00592
AGBL5,rpe1,7.8772,8.0,8.0,0.97183,0.8499,0.8499,62.44049,13.00735,4.8004,1.03098,-0.0782,3,1.0782,9.0783,774,41,-0.0578,-0.031,-0.0782,-0.0636,-0.0562,-0.0579,-0.0286,-0.0441,1.0,-0.03274,-0.01894,0.09431,0.07188,0.07818,-0.03767,-0.11483,-0.007422,-0.004903,0.017262,0.010836,0.011895,-0.002609,-0.018781
AHCTF1,rpe1,7.5347,5.0,5.0,0.88361,0.76246,0.73177,68.01038,14.27363,4.7648,0.85024,0.1498,3,0.8502,5.1965,492,71,0.0439,0.1498,0.2331,0.2721,0.271,0.2942,0.2868,0.2594,1.0,-0.16402,-0.04142,-0.00368,-0.0354,0.02204,-0.00722,-0.08481,-0.027989,-0.008736,0.001206,-0.005118,0.003894,-0.000704,-0.014337
AIFM1,rpe1,7.978,8.0,8.0,0.9905,0.98023,0.98023,55.54979,14.17064,3.9201,1.21433,-0.2542,6,1.2542,2.0888,84,114,-0.1969,-0.2143,-0.191,-0.2113,-0.2232,-0.2406,-0.2512,-0.2542,1.0,-0.01219,-0.01741,-0.05817,0.00897,0.00703,0.01332,-0.0795,-0.004447,-0.004615,-0.005714,0.00219,0.001642,0.003759,-0.013432
ALG1,rpe1,7.9878,8.0,8.0,1.08641,0.98284,0.98284,56.70742,12.69476,4.467,1.21677,-0.2896,6,1.2896,3.963,280,81,-0.177,-0.2168,-0.2279,-0.2333,-0.2347,-0.2539,-0.2521,-0.2896,1.0,0.08618,0.00028,-0.13861,-0.00321,0.05576,0.05282,-0.11362,0.012044,-0.000867,-0.018409,0.001146,0.009128,0.009106,-0.017984
ALG13,rpe1,7.9613,8.0,8.0,1.09004,0.95028,0.95028,55.71608,14.90475,3.7381,1.19609,-0.2472,5,1.2472,5.4666,525,43,-0.2121,-0.1961,-0.1626,-0.1854,-0.1884,-0.2254,-0.2358,-0.2472,1.0,0.02798,0.00974,-0.06779,0.0354,0.01227,-0.01504,-0.11953,0.001665,-0.000707,-0.009077,0.006232,0.003312,-0.000212,-0.019067
ALG14,rpe1,7.9816,8.0,8.0,1.0505,0.96324,0.96324,54.33525,12.32204,4.4096,1.10695,-0.1795,5,1.1795,4.6967,369,111,0.0346,-0.1069,-0.0684,-0.0822,-0.0816,-0.0962,-0.1194,-0.1795,1.0,0.06834,0.01305,-0.07176,0.00842,-0.0074,0.02239,-0.13198,0.00821,0.001008,-0.007588,0.002126,-0.001095,0.004809,-0.021056
ALG2,rpe1,7.9808,8.0,8.0,0.99818,0.83087,0.83087,59.43586,13.045,4.5562,1.07253,-0.0725,4,1.0725,6.3905,543,76,-0.0424,-0.0725,-0.0459,-0.0295,-0.0182,-0.0252,-0.0342,-0.0567,1.0,-0.02048,-0.02041,-0.08055,0.04951,-0.00942,-0.03935,-0.06154,-0.005457,-0.005758,-0.008291,0.009535,-0.000988,-0.004565,-0.011945
