gene,condition,EN_D1,EN_D4
AACS,Rest,7.060612201690674,4.702373504638672
AAGAB,Rest,7.708559513092041,3.842103958129883
AAK1,Rest,5.039399147033691,5.294065475463867
AAMDC,Rest,6.7676215171813965,5.131174564361572
AASDH,Rest,3.9774508476257324,5.253363132476807
ABCA1,Rest,7.620098114013672,5.190410614013672
ABCA5,Rest,6.002081394195557,5.240949630737305
ABCA7,Rest,6.9053635597229,5.33867073059082
ABCB6,Rest,7.405306816101074,5.364660263061523
ABCB8,Rest,7.798399448394775,5.787643909454346
ABCB9,Rest,6.997979640960693,5.566941738128662
ABCC3,Rest,6.4163126945495605,5.932515621185303
ABCC8,Rest,7.963361740112305,5.152276039123535
ABCD3,Rest,6.9750590324401855,4.862393379211426
ABCD4,Rest,5.850653171539307,5.23420524597168
ABCF2,Rest,7.006269454956055,5.42507266998291
ABCG1,Rest,7.124075889587402,5.57002067565918
ABHD10,Rest,4.646559715270996,5.624712944030762
ABHD12,Rest,7.4011735916137695,4.340543746948242
ABHD13,Rest,7.811319351196289,4.389078140258789
ABHD14A,Rest,6.936248302459717,5.2743706703186035
ABHD14B,Rest,7.103909969329834,5.599582672119141
ABHD16A,Rest,7.161876678466797,5.066649913787842
ABHD2,Rest,7.031325340270996,4.943303108215332
ABHD3,Rest,5.607175350189209,6.155098915100098
ABHD4,Rest,7.395522117614746,5.474241256713867
ABHD5,Rest,7.244173526763916,5.386445045471191
ABHD6,Rest,6.688526153564453,4.913806438446045
ABHD8,Rest,6.638245582580566,5.365787506103516
ABL2,Rest,7.130421161651611,5.989406108856201
ABLIM3,Rest,6.883528709411621,5.902324199676514
ABRACL,Rest,5.619221210479736,4.415050506591797
ABRAXAS1,Rest,7.534056186676025,5.8017578125
ABTB1,Rest,6.279727935791016,5.452762603759766
ACAA1,Rest,7.143563270568848,4.412466526031494
ACAD10,Rest,7.234666347503662,5.1931047439575195
ACAD11,Rest,7.147648334503174,5.216282844543457
ACAD8,Rest,7.13643741607666,4.327967166900635
ACAD9,Rest,7.097721099853516,5.519641399383545
ACADM,Rest,7.881676197052002,4.9791975021362305
ACADS,Rest,5.713619232177734,5.534729480743408
ACADSB,Rest,5.477855205535889,5.936607837677002
ACADVL,Rest,6.763827323913574,5.35629940032959
ACAP1,Rest,7.728060245513916,5.573573112487793
ACAT2,Rest,7.9895243644714355,3.7942793369293213
ACBD3,Rest,6.916843891143799,5.385993957519531
ACBD4,Rest,7.591568946838379,5.291380405426025
ACBD5,Rest,6.862510681152344,5.352968692779541
ACBD6,Rest,4.295576572418213,5.34706974029541
ACCS,Rest,7.059269428253174,4.636906147003174
ACER1,Rest,7.0864715576171875,4.832229137420654
ACER3,Rest,6.969802379608154,5.468994140625
ACLY,Rest,7.004856586456299,5.733550071716309
ACO1,Rest,7.247982025146484,4.996732711791992
ACOT13,Rest,7.157564640045166,5.946475982666016
ACOT8,Rest,7.882997989654541,4.937132358551025
ACOT9,Rest,4.669516086578369,5.669971942901611
ACOX1,Rest,7.753486156463623,5.135237693786621
ACP1,Rest,6.45055627822876,5.176634311676025
ACP5,Rest,7.4185099601745605,4.971884250640869
ACP6,Rest,6.347808837890625,5.592360496520996
ACSF2,Rest,5.335720062255859,5.819068908691406
ACSF3,Rest,4.162950038909912,5.083629608154297
ACSL1,Rest,7.776724338531494,5.125827312469482
ACSL3,Rest,6.312320709228516,5.6664934158325195
ACSL4,Rest,6.744176387786865,4.948845386505127
ACSL5,Rest,7.668158531188965,5.667343616485596
ACSM3,Rest,6.9863762855529785,5.305930137634277
ACSS1,Rest,7.027357578277588,5.42328405380249
ACSS2,Rest,7.040800094604492,5.352143287658691
ACTN1,Rest,7.57220983505249,5.85465669631958
ACTR1B,Rest,7.720001220703125,4.787295818328857
ACVR1C,Rest,6.164229869842529,4.296612739562988
ACVR2A,Rest,3.8482301235198975,5.532858371734619
ACVR2B,Rest,6.149700164794922,4.768740653991699
ACY1,Rest,6.994214057922363,4.86299467086792
ACYP1,Rest,4.703910827636719,5.3271803855896
ADA,Rest,6.415421485900879,5.199934005737305
ADA2,Rest,5.766136169433594,5.472846508026123
ADAM15,Rest,7.37089729309082,5.053478717803955
ADAM17,Rest,3.56115460395813,5.490306377410889
ADAM22,Rest,7.104891300201416,5.119309902191162
ADAM23,Rest,4.858119964599609,5.0521769523620605
ADAM8,Rest,7.0033674240112305,5.982908248901367
ADAM9,Rest,6.993477821350098,3.9534826278686523
ADAMTS1,Rest,7.003763198852539,5.634201526641846
ADAMTS10,Rest,6.805886268615723,3.71162748336792
ADAMTS17,Rest,6.518756866455078,4.585017681121826
ADAMTSL5,Rest,7.35833740234375,5.202347755432129
ADARB1,Rest,7.5131449699401855,4.400951385498047
ADARB2,Rest,7.701875686645508,4.665909767150879
ADAT2,Rest,7.000432014465332,5.248969078063965
ADAT3,Rest,7.242461681365967,4.616043567657471
ADCK5,Rest,6.828598499298096,4.507620811462402
ADCY1,Rest,3.866365909576416,5.652798175811768
ADCY3,Rest,7.3538103103637695,5.23651123046875
ADCY9,Rest,6.993212699890137,5.792498588562012
ADGRA3,Rest,7.461148262023926,5.683826446533203
ADGRB2,Rest,5.992250919342041,5.743111610412598
ADGRE5,Rest,6.949681758880615,5.957832336425781
ADGRG1,Rest,7.7612223625183105,5.559464931488037
ADGRV1,Rest,7.008023262023926,4.942080497741699
ADH5,Rest,7.344465255737305,5.63151741027832
ADI1,Rest,6.921143054962158,5.457297325134277
ADIPOR1,Rest,7.771791458129883,5.585940837860107
ADIRF,Rest,7.122122287750244,4.969212532043457
ADK,Rest,7.630089282989502,5.153891563415527
ADM,Rest,5.196547031402588,5.482161045074463
ADNP2,Rest,2.7257397174835205,5.786173343658447
ADPGK,Rest,7.009396553039551,5.607629299163818
ADPRH,Rest,7.729402542114258,5.233570098876953
ADPRM,Rest,5.237054347991943,5.128148555755615
ADRB2,Rest,6.860077381134033,5.997624397277832
AEBP2,Rest,7.118659019470215,5.5469970703125
AEN,Rest,6.072954177856445,5.396734237670898
