gene,category,rest_engagement,stim48_axis_proj,stim8_axis_proj
AACS,inflammatory,0.18148395419120789,0.2848949432373047,0.36070793867111206
AASDH,damaging,0.31721416115760803,-0.591618537902832,-0.5234704613685608
AASS,damaging,0.3316291868686676,-0.6676682829856873,0.37328946590423584
ABCA1,other,0.2409704029560089,-0.27217909693717957,0.03331904858350754
ABCA5,damaging,0.39940524101257324,-0.3865673542022705,-0.5205358266830444
ABCA7,inflammatory,0.18313606083393097,0.30005836486816406,-0.10767333954572678
ABCB6,inflammatory,0.08671066910028458,0.5531386137008667,-0.3118213713169098
ABCB8,other,0.10011140257120132,-0.2758655250072479,-0.30982813239097595
ABCC3,resting_sparing_suppressor,0.05378548428416252,-0.5701329112052917,0.06697285920381546
ABCD3,other,0.2583908140659332,0.11757665127515793,0.16920886933803558
ABCG1,inflammatory,0.2053123116493225,0.41616392135620117,0.21739155054092407
ABHD10,other,0.23862360417842865,-0.3220497667789459,-0.46731051802635193
ABHD13,other,0.10031686723232269,0.023124953731894493,0.240364208817482
ABHD14A,damaging,0.37326905131340027,-0.28221145272254944,0.07658537477254868
ABHD14B,inflammatory,0.1999799907207489,0.544284462928772,0.18053065240383148
ABHD16A,resting_sparing_suppressor,0.1929004043340683,-0.5565593838691711,-0.2682945728302002
ABHD17B,damaging,0.3648895025253296,-0.2876512408256531,-0.4325655400753021
ABHD2,damaging,0.3199443519115448,0.3890940845012665,0.3621070384979248
ABHD3,inflammatory,0.05824032425880432,0.3499396741390228,0.1782771497964859
ABHD4,damaging,0.4497924745082855,0.5628705024719238,0.35254690051078796
ABHD5,other,0.050279226154088974,-0.48400792479515076,-0.2762642502784729
ABHD6,damaging,0.3234105110168457,-0.2511860728263855,0.1846771389245987
ABL2,other,0.25376877188682556,-0.3644547760486603,-0.07076053321361542
ABLIM3,inflammatory,0.04125840961933136,0.17488519847393036,-0.3829478323459625
ABRACL,inflammatory,0.21104395389556885,0.15169288218021393,0.06827682256698608
ABRAXAS1,resting_sparing_suppressor,0.19587954878807068,-0.5990229845046997,0.10951856523752213
ABTB1,other,0.006181331817060709,0.13269883394241333,-0.4213305711746216
ABTB2,inflammatory,0.11667096614837646,0.5832031965255737,0.5372501611709595
ACAA1,damaging,0.39083918929100037,-0.46259284019470215,-0.49764561653137207
ACAD8,other,0.09221356362104416,-0.005312507972121239,0.23021668195724487
ACAD9,other,0.11468910425901413,-0.2509400248527527,-0.20645028352737427
ACADM,inflammatory,0.19370044767856598,0.17057940363883972,-0.4090893864631653
ACADSB,inflammatory,0.23512612283229828,0.14261303842067719,-0.3111276924610138
ACADVL,inflammatory,0.15641435980796814,0.21680639684200287,0.33674126863479614
ACAP1,other,0.015622146427631378,-0.35869649052619934,-0.4095619320869446
ACAT2,resting_sparing_suppressor,0.03231031447649002,-0.547667920589447,0.2895299792289734
ACBD3,resting_sparing_suppressor,0.14049997925758362,-0.6548946499824524,-0.33626046776771545
ACBD6,inflammatory,0.11911606788635254,0.47981375455856323,0.03808503970503807
ACE,damaging,0.3696078360080719,0.28044113516807556,0.5547921061515808
ACER1,damaging,0.3637509047985077,-0.555073618888855,-0.24931682646274567
ACER3,damaging,0.5016438364982605,0.09123899787664413,-0.044095832854509354
ACLY,other,0.0914408415555954,-0.3363361954689026,-0.15763181447982788
ACOT13,damaging,0.33536916971206665,-0.49657872319221497,0.08065864443778992
ACOT8,damaging,0.32355615496635437,-0.2161003202199936,-0.319942444562912
ACOT9,other,0.25538673996925354,-0.4084296226501465,-0.4405014216899872
ACOX1,resting_sparing_suppressor,0.031051088124513626,-0.5702140927314758,-0.32329463958740234
ACP1,other,0.30849489569664,-0.3487815856933594,-0.012569877319037914
ACP6,other,0.049622513353824615,-0.4819466173648834,0.08920777589082718
ACSF2,inflammatory,0.10923504829406738,0.19459791481494904,0.26874685287475586
ACSF3,damaging,0.3915097415447235,-0.500308096408844,-0.4225105047225952
ACSL3,other,0.24085335433483124,-0.6593397855758667,0.29885581135749817
ACSL5,other,0.13312287628650665,0.05547404661774635,-0.2564616799354553
ACSM3,damaging,0.5164486169815063,-0.5202130675315857,-0.06080086901783943
ACSS1,damaging,0.4045076370239258,0.3163470923900604,0.033438265323638916
ACSS2,damaging,0.3519928753376007,-0.37827038764953613,0.3897670805454254
ACTN1,inflammatory,0.017687546089291573,0.15344758331775665,-0.049526412039995193
ACTR1B,inflammatory,0.040258102118968964,0.40189722180366516,0.20822764933109283
ACTR2,resting_sparing_suppressor,0.1221090629696846,-0.6670475602149963,-0.42389553785324097
ACVR1B,inflammatory,0.07593060284852982,0.20562705397605896,0.24217328429222107
ACVR2A,damaging,0.32705286145210266,-0.31534236669540405,-0.49022936820983887
ACY1,damaging,0.4856898784637451,0.4314345419406891,-0.27193400263786316
ACYP1,other,0.2962650954723358,-0.16008314490318298,-0.13501699268817902
ADA,other,0.17986108362674713,-0.28234878182411194,-0.43908435106277466
ADA2,other,0.25992193818092346,-0.5511252284049988,-0.3644493818283081
ADAM15,inflammatory,0.16482290625572205,0.15836402773857117,-0.24772626161575317
ADAM17,damaging,0.31571632623672485,-0.4682391583919525,0.21801356971263885
ADAM23,damaging,0.3740127682685852,-0.5260844230651855,0.13905879855155945
ADAM8,other,0.21230262517929077,-0.2915211319923401,0.10299217700958252
ADAM9,other,0.288280189037323,-0.628168523311615,-0.3195388615131378
ADAMTSL5,damaging,0.35111308097839355,-0.23823581635951996,-0.12893046438694
