gene,EN_Rest,HC_Rest,NL_Rest,PE_Rest,EN_Stim8hr,HC_Stim8hr,NL_Stim8hr,PE_Stim8hr,EN_Stim48hr,HC_Stim48hr,NL_Stim48hr,PE_Stim48hr,ncell_min,umap_x,umap_y,leiden,drug_target_status,approved_drugs,pharos_tdl,tractability_modality,immune_disease_assoc,depmap_essentiality,gnomad_loeuf,function,pathway_family,protein_class_family,nearest_string_neighbors,is_deep_subset
AACS,7.27964973449707,0.5250971913337708,0.852876603603363,0.7908303141593933,7.94069242477417,0.9331239461898804,0.5486042499542236,0.6790291666984558,7.853688240051269,0.7964801788330078,0.9145228862762452,0.7710514068603516,52,7.924456,4.47347,0,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader,seasonal allergic rhinitis(0.24),not_common_essential; mean_geneEffect=0.005,LOEUF=0.968; pLI=0.0,Converts acetoacetate to acetoacetyl-CoA in the cytosol .,Metabolism,Acetoacetyl-CoA synthase,HMGCL(0.962); ACAT1(0.962); HMGCS1(0.959); ACAT2(0.958); OXCT1(0.958),False
AASDH,5.37526798248291,0.1036221981048584,0.7646732330322266,0.8746569156646729,7.176006317138672,0.5267146825790405,0.4601359367370605,0.4038109183311462,7.215285778045654,0.7416120171546936,0.5686149597167969,0.5472440719604492,54,11.487398,0.18665138,7,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader,NOT_FOUND,not_common_essential; mean_geneEffect=-0.07,LOEUF=0.947; pLI=0.0,"Covalently binds beta-alanine in an ATP-dependent manner to form a thioester bond with its phosphopantetheine group and transfers it to an, as yet, unknown acceptor.",NOT_FOUND,Beta-alanine Activation and Resistance,PALB2(0.988); NDUFAB1(0.987); AASDHPPT(0.982); FASN(0.978); SLC27A1(0.973),False
AASS,7.017778396606445,0.7674919366836548,0.5638963580131531,0.5849913358688354,7.837734699249268,0.8635891675949097,0.6715841293334961,0.6717846393585205,7.135183811187744,0.7794982194900513,0.3494195342063904,0.2732865214347839,60,12.303313,6.186232,3,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader; small_molecule,multiple sclerosis(0.327),not_common_essential; mean_geneEffect=0.038,LOEUF=0.949; pLI=0.0,Bifunctional enzyme that catalyzes the first two steps in lysine degradation.,Metabolism,Alpha-aminoadipic semialdehyde synthase,ALDH7A1(0.956); PHYKPL(0.944); SRM(0.936); BTD(0.819); ODC1(0.813),False
ABCA1,5.017884731292725,0.3746702075004577,0.6572909355163574,0.6523993015289307,7.958072662353516,0.9410480856895448,0.870076060295105,0.9042337536811828,7.678921699523926,0.7390553951263428,0.5272867679595947,0.5659903287887573,50,11.477273,2.8545003,4,approved_target,APPROVED: PROBUCOL,Tclin,PROTAC_degrader; antibody; small_molecule,NOT_FOUND,not_common_essential; mean_geneEffect=0.009,LOEUF=0.563; pLI=0.0,Catalyzes the translocation of specific phospholipids from the cytoplasmic to the extracellular/lumenal leaflet of membrane coupled to the hydrolysis of ATP .,Disease; Metabolism; Signal Transduction; Transport of small molecules,ABC transporter A,APOA1(0.999); NR1H2(0.991); APOE(0.98); NR1H3(0.967); XPR1(0.94),True
ABCA5,7.44218635559082,0.5921205282211304,0.441855788230896,0.3668608069419861,5.977349281311035,0.5189564824104309,0.5192127227783203,0.4982978105545044,6.982285499572754,0.5125817060470581,0.4317154288291931,0.5295594930648804,61,11.23999,8.886525,3,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader; antibody,NOT_FOUND,not_common_essential; mean_geneEffect=-0.038,LOEUF=0.971; pLI=0.0,Cholesterol efflux transporter in macrophages that is responsible for APOAI/high-density lipoproteins (HDL) formation at the plasma membrane under high cholesterol levels and participates in reverse cholesterol transport .,Transport of small molecules,ABC transporter A,ELP6(0.81); ABCD4(0.611); MAP2K6(0.6); ABCF3(0.555); ABCF1(0.479),False
ABCA7,7.475922107696533,0.5872383117675781,0.5734286308288574,0.553668737411499,7.930056095123291,0.9317671060562134,0.7444202899932861,0.6231744289398193,7.659845352172852,0.6623209714889526,0.7965688705444336,0.6066465377807617,50,8.480654,6.320508,6,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader; antibody; small_molecule,amyotrophic lateral sclerosis(0.12),not_common_essential; mean_geneEffect=0.069,LOEUF=1.369; pLI=0.0,Catalyzes the translocation of specific phospholipids from the cytoplasmic to the extracellular/lumenal leaflet of membrane coupled to the hydrolysis of ATP .,Transport of small molecules,ABC transporter A,APOA1(0.992); ARHGAP45(0.886); CD2AP(0.883); PICALM(0.872); SORL1(0.841),False
ABCB6,6.351493835449219,0.5443103909492493,0.7730370163917542,0.8236772418022156,7.416519641876221,0.7498810291290283,0.7192454934120178,0.5556130409240723,6.822134017944336,0.4875791072845459,0.8526586294174194,0.6360435485839844,47,8.483898,3.8279803,0,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader; antibody; small_molecule,NOT_FOUND,not_common_essential; mean_geneEffect=0.007,LOEUF=0.985; pLI=0.0,ATP-dependent transporter that catalyzes the transport of a broad-spectrum of porphyrins from the cytoplasm to the extracellular space through the plasma membrane or into the vesicle lumen .,Disease; Transport of small molecules,Type 1 protein exporter,ABCD4(0.943); ABCA2(0.929); ABCG5(0.928); ABCG8(0.926); ABCB8(0.813),False
ABCB8,5.824514389038086,0.1484855413436889,0.729522705078125,0.8306843638420105,7.113340377807617,0.6556580066680908,0.5913759469985962,0.571357250213623,7.889610290527344,0.9103984832763672,0.5417906641960144,0.6985746622085571,100,10.768056,0.039558984,7,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader; antibody; small_molecule,atherosclerosis(0.025),not_common_essential; mean_geneEffect=0.072,LOEUF=0.895; pLI=0.0,ATP-binding subunit of the mitochondrial ATP-gated potassium channel (mitoK(ATP)) .,Transport of small molecules,Type 1 protein exporter,CCDC51(0.995); SLC25A28(0.828); ABCB6(0.813); ABCA2(0.805); ABCD4(0.802),False
ABCC3,7.03346586227417,0.5899893045425415,0.4825450181961059,0.5448665022850037,7.624295711517334,0.8325425386428833,0.6494655013084412,0.8710612058639526,7.0963969230651855,0.5568581819534302,0.4077544212341308,0.3610325455665588,44,11.93599,5.353602,4,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader; antibody; small_molecule,NOT_FOUND,not_common_essential; mean_geneEffect=-0.044,LOEUF=0.832; pLI=0.0,"ATP-dependent transporter of the ATP-binding cassette (ABC) family that binds and hydrolyzes ATP to enable active transport of various substrates including many drugs, toxicants and endogenous compound across cell membranes .",Cellular responses to stimuli; Drug ADME; Metabolism; Transport of small molecules,ATP-binding cassette transporter C-like; Multi drug resistance-associated protein,SLC51A(0.913); SLC51B(0.815); CYP7A1(0.778); MRPS7(0.769); SLCO1B1(0.764),False
ABCD3,6.169235706329346,0.1929643154144287,0.7751449346542358,0.7888451218605042,7.870986461639404,0.8213307857513428,0.6618078351020813,0.6503035426139832,7.918135643005371,0.8711919188499451,0.6159585118293762,0.7921006679534912,50,9.573109,1.6760234,7,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader; antibody; small_molecule,food allergy(0.149),not_common_essential; mean_geneEffect=-0.122,LOEUF=0.484; pLI=0.9898,"Broad substrate specificity ATP-dependent transporter of the ATP-binding cassette (ABC) family that catalyzes the transport of long-chain fatty acids (LCFA)-CoA, dicarboxylic acids-CoA, long-branched-chain fatty acids-CoA and bile acids from the cytosol to the peroxisome lumen for beta-oxydation .",Protein localization; Signal Transduction; Transport of small molecules,ATP-binding cassette sub-family D; Peroxysomal long chain fatty acyl transporter,PEX19(0.991); ABCD1(0.98); RAD51(0.958); PEX3(0.942); PEX16(0.937),False
